Rank this week,Rank last week,Player Name,Rounds,Average,Total Distance,Total Drives,Year
T152,T152,D.A. Points,88,284.0,"49,704",175,2012
T152,T152,Johnson Wagner,88,284.0,"49,700",175,2012
154,154,Nathan Green,73,283.8,"36,898",130,2012
T155,T155,Stephen Ames,54,283.7,"29,501",104,2012
T155,T155,Spencer Levin,81,283.7,"44,821",158,2012
157,157,Brendon Todd,78,283.6,"39,703",140,2012
158,158,Michael Thompson,80,283.4,"45,349",160,2012
159,159,Stuart Appleby,75,283.3,"40,225",142,2012
160,160,Ken Duke,104,282.6,"56,240",199,2012
161,161,Chez Reavie,83,282.5,"46,620",165,2012
162,162,K.J. Choi,71,282.3,"39,527",140,2012
163,163,Greg Chalmers,88,282.0,"48,787",173,2012
164,164,Gary Christian,91,281.9,"47,923",170,2012
165,165,Kevin Na,80,281.5,"44,484",158,2012
T166,T166,Scott Dunlap,57,281.4,"28,698",102,2012
T166,T166,John Mallinger,74,281.4,"39,395",140,2012
168,168,Zach Johnson,95,281.1,"52,845",188,2012
169,169,Rocco Mediate,70,280.7,"35,927",128,2012
170,170,Luke Donald,63,280.1,"34,729",124,2012
171,171,Jim Furyk,85,280.0,"46,477",166,2012
172,172,Justin Leonard,79,279.4,"41,903",150,2012
173,173,Patrick Sheehan,58,279.3,"29,042",104,2012
174,174,Jason Bohn,81,279.2,"41,877",150,2012
175,175,Heath Slocum,93,278.9,"47,412",170,2012
176,176,David Mathis,83,278.1,"42,833",154,2012
177,177,Brian Gay,91,277.7,"48,328",174,2012
178,178,Bryce Molder,83,277.5,"43,838",158,2012
179,179,Brian Davis,91,277.1,"47,940",173,2012
180,180,Tim Clark,60,276.7,"32,645",118,2012
181,181,Ryuji Imada,78,276.4,"42,006",152,2012
182,182,Jerry Kelly,84,276.1,"44,174",160,2012
183,183,Mark Wilson,84,276.0,"43,062",156,2012
184,184,David Toms,60,275.5,"31,956",116,2012
185,185,Billy Hurley III,70,275.3,"36,338",132,2012
186,186,Ben Curtis,62,274.8,"31,880",116,2012
187,187,Tom Pernice Jr.,62,273.9,"31,769",116,2012
188,188,Chris DiMarco,83,273.0,"43,133",158,2012
189,189,Colt Knost,79,272.5,"41,968",154,2012
190,190,Gavin Coles,72,271.2,"35,793",132,2012
191,191,Nick O'Hern,78,268.9,"39,800",148,2012
1,1,J.B. Holmes,57,318.4,"33,751",106,2011
2,2,Bubba Watson,85,314.9,"49,747",158,2011
3,3,Dustin Johnson,72,314.2,"44,616",142,2011
4,4,Robert Garrigus,83,313.4,"52,026",166,2011
5,5,Gary Woodland,93,310.5,"57,745",186,2011
6,6,Steven Bowditch,86,308.3,"50,569",164,2011
7,7,Scott Piercy,78,305.4,"45,204",148,2011
8,8,Jhonattan Vegas,84,304.9,"48,778",160,2011
9,9,Kyle Stanley,98,304.6,"54,825",180,2011
10,10,Will Strickler,51,304.1,"28,584",94,2011
11,11,Scott Stallings,84,303.7,"47,374",156,2011
12,12,Tag Ridings,87,303.3,"49,131",162,2011
13,13,Martin Laird,77,303.0,"46,051",152,2011
14,14,Jason Day,76,302.6,"44,179",146,2011
15,15,Josh Teater,104,302.3,"59,244",196,2011
16,16,Nick Watney,80,301.9,"46,500",154,2011
17,17,Harrison Frazar,58,301.8,"35,006",116,2011
18,18,Jim Herman,69,301.7,"36,806",122,2011
19,19,Ángel Cabrera,50,301.6,"27,747",92,2011
20,20,Keegan Bradley,91,300.7,"52,319",174,2011
21,21,Troy Matteson,91,300.2,"52,230",174,2011
T22,T22,Charley Hoffman,93,299.8,"55,162",184,2011
T22,T22,Phil Mickelson,79,299.8,"46,162",154,2011
24,24,Adam Scott,60,299.7,"35,367",118,2011
T25,T25,Rickie Fowler,84,299.5,"48,520",162,2011
T25,T25,Zack Miller,86,299.5,"49,116",164,2011
T25,T25,Ryan Palmer,82,299.5,"47,915",160,2011
T28,T28,Sergio Garcia,61,299.2,"36,507",122,2011
T28,T28,Robert Karlsson,61,299.2,"35,309",118,2011
30,30,Jimmy Walker,79,298.8,"47,213",158,2011
T31,T31,Alex Prugh,82,298.6,"46,581",156,2011
T31,T31,D.J. Trahan,91,298.6,"54,349",182,2011
T33,T33,James Driscoll,71,298.5,"38,802",130,2011
T33,T33,Brandt Jobe,100,298.5,"57,311",192,2011
T33,T33,Davis Love III,70,298.5,"41,783",140,2011
36,36,Scott Gutschewski,67,298.0,"35,169",118,2011
37,37,Derek Lamely,65,297.9,"37,538",126,2011
T38,T38,Bobby Gates,82,297.4,"44,013",148,2011
T38,T38,Bo Van Pelt,92,297.4,"53,533",180,2011
40,40,Charles Howell III,108,297.3,"61,846",208,2011
T41,T41,John Merrick,71,297.2,"37,450",126,2011
T41,T41,Michael Putnam,67,297.2,"37,445",126,2011
43,43,Charl Schwartzel,58,297.0,"33,269",112,2011
T44,T44,Chris Couch,73,296.8,"43,334",146,2011
T44,T44,Jim Renner,65,296.8,"33,836",114,2011
T46,T46,Tommy Gainey,104,296.7,"59,331",200,2011
T46,T46,John Rollins,85,296.7,"49,251",166,2011
T48,T48,Bill Haas,93,296.6,"54,570",184,2011
T48,T48,Boo Weekley,66,296.6,"36,775",124,2011
50,50,David Duval,67,296.3,"39,698",134,2011
T51,T51,Aaron Baddeley,77,296.2,"44,430",150,2011
T51,T51,Webb Simpson,98,296.2,"58,064",196,2011
53,53,Bio Kim,71,296.1,"38,497",130,2011
54,54,Marc Leishman,87,296.0,"51,496",174,2011
55,55,Kevin Chappell,78,295.8,"42,597",144,2011
56,56,Chris Kirk,87,295.7,"51,446",174,2011
57,57,Joseph Bramlett,73,295.6,"38,434",130,2011
58,58,Jeff Overton,92,295.3,"53,750",182,2011
59,59,Steve Marino,76,295.2,"44,873",152,2011
60,60,George McNeill,69,295.0,"35,991",122,2011
T61,T61,Padraig Harrington,60,294.7,"34,778",118,2011
T61,T61,Andres Romero,77,294.7,"44,200",150,2011
T63,T63,Lucas Glover,74,294.6,"43,595",148,2011
T63,T63,Sean O'Hair,71,294.6,"41,241",140,2011
65,65,Camilo Villegas,69,294.4,"40,041",136,2011
T66,T66,Vijay Singh,79,294.3,"46,492",158,2011
T66,T66,Cameron Tringale,110,294.3,"62,400",212,2011
T68,T68,Sung Kang,63,294.2,"34,712",118,2011
T68,T68,Anthony Kim,72,294.2,"41,774",142,2011
70,70,Matt Jones,71,293.9,"41,730",142,2011
71,71,Chez Reavie,92,293.5,"53,998",184,2011
T72,T72,Ricky Barnes,78,293.3,"45,750",156,2011
T72,T72,John Senden,94,293.3,"55,144",188,2011
74,74,Kevin Stadler,88,293.2,"46,910",160,2011
T75,T75,Andres Gonzales,60,293.1,"30,486",104,2011
T75,T75,Roland Thatcher,67,293.1,"39,272",134,2011
77,77,Brendan Steele,89,292.8,"50,943",174,2011
78,78,Rory Sabbatini,85,292.5,"47,377",162,2011
79,79,Martin Piller,63,292.2,"34,482",118,2011
80,80,Blake Adams,116,292.1,"65,435",224,2011
T81,T81,Stewart Cink,72,291.8,"38,521",132,2011
T81,T81,Tim Herron,85,291.8,"47,269",162,2011
T81,T81,Carl Pettersson,95,291.8,"54,271",186,2011
T84,T84,Jonathan Byrd,83,291.6,"47,827",164,2011
T84,T84,Hunter Mahan,92,291.6,"51,896",178,2011
T84,T84,Scott McCarron,65,291.6,"35,574",122,2011
T84,T84,Joe Ogilvie,75,291.6,"39,076",134,2011
T84,T84,Rod Pampling,72,291.6,"37,331",128,2011
89,89,Bill Lunde,92,291.5,"51,298",176,2011
90,90,Pat Perez,76,291.4,"44,289",152,2011
91,91,Chris Stroud,88,291.2,"48,916",168,2011
T92,T92,Chad Campbell,99,291.1,"56,476",194,2011
T92,T92,J.J. Henry,96,291.1,"53,561",184,2011
T94,T94,Billy Horschel,75,291.0,"40,162",138,2011
T94,T94,Michael Thompson,79,291.0,"42,486",146,2011
T96,T96,David Hearn,88,290.9,"46,551",160,2011
T96,T96,Alexandre Rocha,65,290.9,"33,157",114,2011
98,98,Michael Bradley,74,290.7,"40,703",140,2011
99,99,Justin Rose,79,290.6,"44,759",154,2011
T100,T100,Robert Allenby,84,290.2,"48,165",166,2011
T100,T100,D.J. Brigman,67,290.2,"34,244",118,2011
T100,T100,Y.E. Yang,63,290.2,"34,239",118,2011
T103,T103,Tom Gillis,55,290.1,"31,914",110,2011
T103,T103,Lee Janzen,62,290.1,"32,495",112,2011
T103,T103,Ryan Moore,79,290.1,"43,510",150,2011
106,106,Geoff Ogilvy,69,290.0,"38,286",132,2011
T107,T107,Retief Goosen,50,289.9,"28,415",98,2011
T107,T107,William McGirt,103,289.9,"57,398",198,2011
T109,T109,Ben Martin,74,289.5,"40,528",140,2011
T109,T109,Graeme McDowell,50,289.5,"27,213",94,2011
111,111,Kevin Streelman,90,289.2,"52,050",180,2011
112,112,Briny Baird,60,289.1,"31,223",108,2011
113,113,Steve Stricker,70,288.8,"39,859",138,2011
T114,T114,Hunter Haas,96,288.5,"53,082",184,2011
T114,T114,Trevor Immelman,84,288.5,"48,465",168,2011
116,116,Fabián Gómez,84,288.4,"43,832",152,2011
117,117,Matt Bettencourt,84,288.3,"48,437",168,2011
118,118,Ernie Els,71,288.1,"39,753",138,2011
119,119,Brendon de Jonge,105,287.8,"58,132",202,2011
120,120,Woody Austin,59,287.6,"30,487",106,2011
121,121,Stuart Appleby,65,287.5,"37,374",130,2011
T122,T122,Freddie Jacobson,92,287.4,"48,282",168,2011
T122,T122,D.A. Points,89,287.4,"51,162",178,2011
124,124,Brandt Snedeker,85,287.2,"48,816",170,2011
T125,T125,Jason Dufner,78,286.8,"44,745",156,2011
T125,T125,Troy Merritt,63,286.8,"34,986",122,2011
127,127,Spencer Levin,113,286.3,"62,416",218,2011
128,128,Matt Kuchar,94,286.2,"50,366",176,2011
T129,T129,Rich Beem,53,286.1,"30,325",106,2011
T129,T129,Jarrod Lyle,83,286.1,"45,201",158,2011
T129,T129,Shaun Micheel,77,286.1,"41,773",146,2011
132,132,Justin Hicks,60,286.0,"29,742",104,2011
133,133,Charlie Wi,83,285.8,"47,443",166,2011
134,134,K.J. Choi,77,285.6,"42,834",150,2011
T135,T135,Steve Elkington,50,285.4,"28,543",100,2011
T135,T135,Matt McQuillan,59,285.4,"31,399",110,2011
T137,T137,Nathan Green,81,285.0,"43,891",154,2011
T137,T137,Kent Jones,76,285.0,"40,474",142,2011
T139,T139,Kris Blanks,92,284.9,"51,276",180,2011
T139,T139,Jason Bohn,74,284.9,"39,879",140,2011
T139,T139,Ben Crane,76,284.9,"41,599",146,2011
T139,T139,Daniel Summerhays,75,284.9,"41,596",146,2011
T143,T143,Arjun Atwal,91,284.8,"51,842",182,2011
T143,T143,Mark Wilson,89,284.8,"49,548",174,2011
T145,T145,Cameron Beckman,71,284.3,"38,102",134,2011
T145,T145,Kevin Kisner,70,284.3,"36,394",128,2011
T147,T147,Luke Donald,73,284.1,"38,064",134,2011
T147,T147,Vaughn Taylor,89,284.1,"50,571",178,2011
149,149,Paul Stankowski,78,283.9,"40,875",144,2011
150,150,Stephen Ames,69,283.8,"36,890",130,2011
151,151,Joe Durant,71,283.6,"39,143",138,2011
152,152,Ryuji Imada,83,283.4,"47,048",166,2011
T153,T153,Brian Davis,105,283.3,"59,483",210,2011
T153,T153,Billy Mayfair,94,283.3,"50,999",180,2011
T155,T155,Ian Poulter,52,282.8,"28,850",102,2011
T155,T155,Marc Turnesa,54,282.8,"29,406",104,2011
157,157,J.P. Hayes,56,282.7,"30,529",108,2011
158,158,Aron Price,58,282.6,"29,388",104,2011
159,159,Steve Flesch,88,282.5,"47,462",168,2011
160,160,Johnson Wagner,81,282.2,"43,455",154,2011
T161,T161,David Mathis,83,282.0,"43,422",154,2011
T161,T161,Bryce Molder,82,282.0,"45,119",160,2011
163,163,Heath Slocum,89,281.9,"49,612",176,2011
164,164,Jim Furyk,87,281.4,"48,401",172,2011
165,165,Nate Smith,66,281.2,"33,743",120,2011
166,166,Tim Petrovic,88,280.5,"47,118",168,2011
167,167,Alex Cejka,59,280.3,"33,076",118,2011
T168,T168,Shane Bertsch,62,280.1,"31,370",112,2011
T168,T168,Justin Leonard,82,280.1,"45,944",164,2011
170,170,Kevin Na,84,279.8,"47,009",168,2011
171,171,Garrett Willis,71,279.7,"38,598",138,2011
172,172,Greg Chalmers,88,279.6,"48,090",172,2011
173,173,Michael Connell,76,279.5,"42,484",152,2011
174,174,Chris Riley,76,279.3,"40,221",144,2011
175,175,David Toms,78,279.1,"41,302",148,2011
176,176,Colt Knost,80,279.0,"41,291",148,2011
177,177,Zach Johnson,79,278.2,"43,396",156,2011
178,178,Chris DiMarco,93,277.9,"49,475",178,2011
179,179,Dean Wilson,62,276.8,"34,319",124,2011
180,180,Ben Curtis,66,276.7,"36,522",132,2011
181,181,Richard Johnson,64,276.6,"32,087",116,2011
182,182,Nick O'Hern,89,276.3,"46,965",170,2011
183,183,Jerry Kelly,85,275.6,"44,091",160,2011
184,184,Rocco Mediate,53,275.5,"29,208",106,2011
185,185,Paul Goydos,81,274.8,"44,523",162,2011
186,186,Brian Gay,90,269.8,"46,410",172,2011
1,1,Robert Garrigus,71,315.5,"41,009",130,2010
2,2,Bubba Watson,77,309.8,"47,703",154,2010
3,3,Dustin Johnson,83,308.5,"50,588",164,2010
4,4,Brett Wetterich,54,307.3,"33,187",108,2010
5,5,J.B. Holmes,100,307.2,"61,437",200,2010
T6,T6,John Daly,63,305.7,"33,623",110,2010
T6,T6,Graham DeLaet,88,305.7,"50,142",164,2010
8,8,Ángel Cabrera,64,304.5,"38,362",126,2010
9,9,Charles Warren,64,302.5,"35,089",116,2010
10,10,D.J. Trahan,92,301.1,"55,411",184,2010
11,11,Martin Flores,75,300.7,"42,705",142,2010
12,12,Rory McIlroy,54,300.0,"31,201",104,2010
13,13,Phil Mickelson,76,299.1,"45,459",152,2010
14,14,Aaron Baddeley,94,298.9,"56,202",188,2010
T15,T15,Jason Day,82,298.2,"48,901",164,2010
T15,T15,Charley Hoffman,85,298.2,"49,509",166,2010
17,17,Davis Love III,79,297.7,"47,042",158,2010
18,18,Jeff Overton,89,297.3,"50,543",170,2010
19,19,Scott Piercy,88,296.8,"52,242",176,2010
T20,T20,Martin Laird,91,296.5,"53,669",181,2010
T20,T20,Nick Watney,91,296.5,"51,883",175,2010
22,22,Troy Matteson,84,296.3,"49,774",168,2010
23,23,Jarrod Lyle,54,296.2,"27,253",92,2010
24,24,Andres Romero,73,296.0,"43,223",146,2010
25,25,Daniel Chopra,74,295.9,"43,800",148,2010
26,26,Ryan Palmer,84,295.8,"49,702",168,2010
T27,T27,Lucas Glover,75,295.7,"43,764",148,2010
T27,T27,Alex Prugh,88,295.7,"50,856",172,2010
29,29,Garth Mulroy,53,295.6,"28,967",98,2010
30,30,John Rollins,81,295.5,"47,863",162,2010
31,31,Marc Leishman,87,295.0,"51,331",174,2010
32,32,Cameron Tringale,55,294.5,"28,864",98,2010
33,33,Adam Scott,70,294.4,"40,045",136,2010
34,34,Charles Howell III,103,294.3,"58,274",198,2010
35,35,Paul Casey,64,294.2,"34,125",116,2010
T36,T36,Matt Bettencourt,91,294.0,"48,798",166,2010
T36,T36,Derek Lamely,81,294.0,"44,101",150,2010
T36,T36,Cameron Percy,73,294.0,"39,980",136,2010
39,39,James Driscoll,78,293.9,"45,843",156,2010
40,40,Mathias Grönberg,61,293.7,"32,311",110,2010
41,41,George McNeill,79,293.4,"46,352",158,2010
T42,T42,Bill Haas,87,293.3,"51,026",174,2010
T42,T42,Matt Jones,89,293.3,"52,199",178,2010
44,44,Josh Teater,101,293.1,"58,031",198,2010
45,45,Jimmy Walker,82,292.9,"45,686",156,2010
46,46,J.J. Henry,92,292.8,"49,190",168,2010
T47,T47,Rickie Fowler,98,292.7,"57,363",196,2010
T47,T47,Sergio Garcia,58,292.7,"30,438",104,2010
T49,T49,Stewart Cink,84,292.4,"46,786",160,2010
T49,T49,Chris Couch,66,292.4,"38,592",132,2010
51,51,Vijay Singh,75,292.3,"43,267",148,2010
52,52,Padraig Harrington,57,292.1,"32,715",112,2010
T53,T53,Roger Tambellini,77,292.0,"40,293",138,2010
T53,T53,Bo Van Pelt,104,292.0,"60,731",208,2010
T55,T55,David Lutterus,69,291.9,"36,781",126,2010
T55,T55,Boo Weekley,88,291.9,"46,700",160,2010
57,57,Hunter Mahan,85,291.8,"49,029",168,2010
T58,T58,Tim Herron,79,291.7,"42,591",146,2010
T58,T58,Chris Wilson,65,291.7,"34,421",118,2010
T60,T60,Retief Goosen,75,291.4,"41,383",142,2010
T60,T60,John Merrick,109,291.4,"58,862",202,2010
T60,T60,Greg Owen,69,291.4,"40,218",138,2010
63,63,Blake Adams,84,291.3,"47,781",164,2010
T64,T64,Jonathan Byrd,85,290.9,"49,461",170,2010
T64,T64,Matt Every,60,290.9,"33,750",116,2010
T66,T66,Will MacKenzie,72,290.8,"41,868",144,2010
T66,T66,Ted Purdy,86,290.8,"47,685",164,2010
T68,T68,Steve Marino,81,290.6,"47,079",162,2010
T68,T68,Kenny Perry,69,290.6,"39,522",136,2010
T70,T70,Paul Stankowski,62,290.3,"31,354",108,2010
T70,T70,Kevin Streelman,90,290.3,"49,933",172,2010
T72,T72,John Senden,103,290.2,"59,781",206,2010
T72,T72,Kevin Stadler,86,290.2,"45,264",156,2010
74,74,Andrew McLardy,52,289.9,"27,835",96,2010
T75,T75,Michael Letzig,84,289.7,"48,665",168,2010
T75,T75,Ryan Moore,80,289.7,"45,476",157,2010
77,77,Camilo Villegas,78,289.6,"41,703",144,2010
T78,T78,Mathew Goggin,85,289.3,"49,181",170,2010
T78,T78,Sean O'Hair,84,289.3,"47,162",163,2010
T80,T80,Steve Elkington,74,289.2,"39,333",136,2010
T80,T80,Nicholas Thompson,88,289.2,"48,593",168,2010
T82,T82,Robert Allenby,76,289.1,"42,505",147,2010
T82,T82,Rory Sabbatini,79,289.1,"43,946",152,2010
84,84,Stuart Appleby,101,289.0,"57,221",198,2010
85,85,Bill Lunde,79,288.9,"43,329",150,2010
T86,T86,Tom Gillis,97,288.7,"56,016",194,2010
T86,T86,Jeff Gove,57,288.7,"29,449",102,2010
T88,T88,Scott McCarron,90,288.6,"51,943",180,2010
T88,T88,Y.E. Yang,72,288.6,"40,409",140,2010
T90,T90,Ernie Els,72,288.4,"40,374",140,2010
T90,T90,Brenden Pappas,66,288.4,"35,766",124,2010
92,92,Troy Merritt,86,288.2,"48,417",168,2010
T93,T93,Henrik Bjornstad,72,288.1,"38,024",132,2010
T93,T93,Chris Tidland,77,288.1,"42,060",146,2010
95,95,Roland Thatcher,72,288.0,"41,467",144,2010
96,96,Kevin Sutherland,86,287.9,"49,523",172,2010
97,97,Justin Rose,78,287.8,"44,894",156,2010
98,98,Lee Janzen,77,287.7,"44,302",154,2010
99,99,Rich Barcelo,70,287.6,"36,812",128,2010
100,100,Jeev Milkha Singh,59,287.3,"29,882",104,2010
101,101,Chris Stroud,90,287.2,"47,103",164,2010
T102,T102,Pat Perez,90,287.1,"51,681",180,2010
T102,T102,Steve Wheatcroft,74,287.1,"37,893",132,2010
104,104,Geoff Ogilvy,62,287.0,"34,437",120,2010
T105,T105,Brendon de Jonge,114,286.9,"60,816",212,2010
T105,T105,David Duval,71,286.9,"39,309",137,2010
T105,T105,Matt Kuchar,97,286.9,"54,505",190,2010
T105,T105,Brian Stuard,81,286.9,"43,037",150,2010
109,109,Ian Poulter,55,286.8,"28,104",98,2010
T110,T110,Kris Blanks,91,286.4,"47,543",166,2010
T110,T110,Trevor Immelman,55,286.4,"31,214",109,2010
T112,T112,Steve Lowery,67,286.2,"36,066",126,2010
T112,T112,James Nitties,92,286.2,"49,231",172,2010
114,114,Joe Ogilvie,99,285.9,"53,172",186,2010
115,115,Cameron Beckman,68,285.7,"36,570",128,2010
116,116,Joe Durant,67,285.6,"34,847",122,2010
117,117,Ricky Barnes,103,285.5,"58,818",206,2010
118,118,Webb Simpson,98,285.4,"55,944",196,2010
T119,T119,Chad Campbell,94,285.1,"53,030",186,2010
T119,T119,Jay Williamson,76,285.1,"38,772",136,2010
121,121,Aron Price,70,284.6,"36,433",128,2010
122,122,Vaughn Taylor,87,284.4,"49,484",174,2010
123,123,Vance Veazey,58,284.3,"29,568",104,2010
124,124,Billy Mayfair,78,284.0,"39,753",140,2010
125,125,Bob Estes,79,283.9,"44,858",158,2010
126,126,Rod Pampling,77,283.5,"43,656",154,2010
127,127,Michael Sim,64,283.3,"35,698",126,2010
T128,T128,Cliff Kresge,50,283.2,"26,053",92,2010
T128,T128,Shaun Micheel,70,283.2,"35,118",124,2010
T128,T128,Brett Quigley,96,283.2,"53,808",190,2010
T131,T131,K.J. Choi,82,283.1,"44,169",156,2010
T131,T131,Freddie Jacobson,83,283.1,"46,987",166,2010
133,133,D.A. Points,90,283.0,"50,947",180,2010
134,134,Steve Stricker,73,282.9,"40,735",144,2010
135,135,Johnson Wagner,85,282.4,"45,743",162,2010
136,136,Ben Crane,85,282.3,"46,304",164,2010
137,137,Carl Pettersson,99,282.1,"51,340",182,2010
T138,T138,Stephen Ames,75,282.0,"41,737",148,2010
T138,T138,Briny Baird,87,282.0,"46,805",166,2010
140,140,Jason Dufner,87,281.9,"49,051",174,2010
141,141,Justin Bolli,55,281.8,"27,618",98,2010
142,142,Dean Wilson,54,281.6,"27,032",96,2010
143,143,Michael Bradley,77,281.5,"41,099",146,2010
T144,T144,Michael Connell,89,281.3,"45,569",162,2010
T144,T144,David Toms,86,281.3,"47,819",170,2010
146,146,Charlie Wi,95,281.2,"53,425",190,2010
147,147,Woody Austin,93,281.1,"50,039",178,2010
T148,T148,Mark Calcavecchia,50,281.0,"23,606",84,2010
T148,T148,J.P. Hayes,79,281.0,"42,150",150,2010
T150,T150,Spencer Levin,110,280.6,"57,242",204,2010
T150,T150,Mark Wilson,87,280.6,"46,583",166,2010
152,152,John Mallinger,78,280.4,"42,627",152,2010
153,153,Garrett Willis,82,280.2,"43,714",156,2010
154,154,Tom Pernice Jr.,74,280.0,"36,954",132,2010
155,155,Jason Bohn,84,279.8,"47,008",168,2010
156,156,Zach Johnson,93,279.7,"50,904",182,2010
T157,T157,Nathan Green,86,279.5,"48,073",172,2010
T157,T157,Skip Kendall,58,279.5,"27,950",100,2010
159,159,Jeff Maggert,76,279.1,"37,963",136,2010
T160,T160,Chris DiMarco,88,279.0,"46,870",168,2010
T160,T160,Jerry Kelly,99,279.0,"53,001",190,2010
T160,T160,Jerod Turner,54,279.0,"25,666",92,2010
T163,T163,Brian Davis,101,278.9,"56,341",202,2010
T163,T163,Heath Slocum,97,278.9,"51,877",186,2010
T165,T165,Ryuji Imada,90,278.7,"50,173",180,2010
T165,T165,Tim Petrovic,105,278.7,"58,536",210,2010
T167,T167,Kevin Na,94,278.6,"51,816",186,2010
T167,T167,Scott Verplank,74,278.6,"40,669",146,2010
169,169,Chris Riley,73,278.3,"37,293",134,2010
170,170,Rocco Mediate,71,278.1,"38,372",138,2010
171,171,Bryce Molder,84,278.0,"44,482",160,2010
172,172,Justin Leonard,89,277.8,"48,892",176,2010
T173,T173,Alex Cejka,81,277.4,"43,834",158,2010
T173,T173,Steve Flesch,78,277.4,"41,051",148,2010
175,175,Richard Johnson,90,277.3,"45,474",164,2010
176,176,Brandt Snedeker,89,277.1,"49,315",178,2010
177,177,Luke Donald,71,277.0,"37,676",136,2010
178,178,Kevin Johnson,62,276.5,"30,971",112,2010
179,179,Jim Furyk,76,276.0,"40,853",148,2010
180,180,Chad Collins,87,275.8,"43,575",158,2010
181,181,Brent Delahoussaye,57,275.6,"28,107",102,2010
T182,T182,Greg Chalmers,93,275.5,"51,242",186,2010
T182,T182,Ben Curtis,78,275.5,"42,985",156,2010
184,184,Mike Weir,59,273.9,"31,230",114,2010
185,185,Paul Goydos,78,273.6,"42,682",156,2010
186,186,Jeff Quinney,91,273.3,"47,553",174,2010
187,187,Greg Kraft,52,273.2,"25,130",92,2010
188,188,Tim Clark,88,272.2,"46,282",170,2010
189,189,Omar Uresti,74,272.0,"36,987",136,2010
190,190,Brad Faxon,58,271.4,"29,306",108,2010
191,191,Craig Bowden,56,270.0,"27,545",102,2010
192,192,Brian Gay,101,266.4,"52,220",196,2010
