Player Name,Rounds,Green In Regulation Percentage,Greens Hit,Holes,Relative/Par,Year
Troy Kelly,68,63.17,705,"1,116",-0.24,2012
Hunter Haas,69,63.14,716,"1,134",-0.25,2012
George McNeill,85,63.03,919,"1,458",-0.25,2012
Patrick Sheehan,58,62.93,589,936,-0.21,2012
Marco Dawson,60,62.76,610,972,-0.26,2012
Marc Leishman,84,62.76,949,"1,512",-0.23,2012
Brian Gay,91,62.71,982,"1,566",-0.26,2012
Charl Schwartzel,56,62.65,609,972,-0.28,2012
Erik Compton,81,62.48,821,"1,314",-0.26,2012
Kevin Kisner,69,62.48,686,"1,098",-0.25,2012
Bob Estes,78,62.39,876,"1,404",-0.26,2012
James Driscoll,83,62.38,887,"1,422",-0.29,2012
Tommy Gainey,98,62.30,"1,099","1,764",-0.28,2012
Rory Sabbatini,84,62.24,941,"1,512",-0.27,2012
Stephen Ames,54,62.18,582,936,-0.21,2012
Padraig Harrington,67,62.17,705,"1,134",-0.28,2012
Colt Knost,79,62.12,861,"1,386",-0.23,2012
John Daly,50,62.08,514,828,-0.30,2012
Edward Loar,59,62.05,592,954,-0.27,2012
Kevin Na,80,62.03,882,"1,422",-0.28,2012
Freddie Jacobson,61,61.85,668,"1,080",-0.24,2012
Tom Pernice Jr.,62,61.69,644,"1,044",-0.23,2012
Ian Poulter,57,61.61,621,"1,008",-0.27,2012
Jason Day,57,61.31,607,990,-0.29,2012
Andres Romero,68,61.30,662,"1,080",-0.24,2012
Harrison Frazar,56,61.21,595,972,-0.26,2012
David Mathis,83,61.04,846,"1,386",-0.25,2012
Spencer Levin,81,60.97,867,"1,422",-0.28,2012
Ryuji Imada,78,60.60,829,"1,368",-0.24,2012
Chris DiMarco,83,60.55,861,"1,422",-0.25,2012
Justin Leonard,79,60.44,816,"1,350",-0.23,2012
Derek Lamely,64,60.30,673,"1,116",-0.26,2012
J.J. Killeen,101,60.27,"1,009","1,674",-0.23,2012
Brendon Todd,78,60.00,756,"1,260",-0.24,2012
Tommy Biershenk,74,59.89,733,"1,224",-0.27,2012
Greg Chalmers,88,59.83,937,"1,566",-0.29,2012
Sangmoon Bae,81,59.81,829,"1,386",-0.29,2012
Daniel Chopra,55,59.80,549,918,-0.29,2012
Charlie Wi,86,59.69,924,"1,548",-0.27,2012
Ryo Ishikawa,54,59.61,515,864,-0.24,2012
Stephen Gangluff,57,59.15,543,918,-0.22,2012
Sung Kang,75,59.15,756,"1,278",-0.22,2012
Matt Bettencourt,80,58.95,764,"1,296",-0.26,2012
Y.E. Yang,64,58.51,653,"1,116",-0.27,2012
Aaron Baddeley,73,58.10,753,"1,296",-0.30,2012
Billy Hurley III,70,57.74,686,"1,188",-0.23,2012
Boo Weekley,66,71.68,800,"1,116",-0.23,2011
Heath Slocum,89,71.40,"1,131","1,584",-0.23,2011
Joe Durant,71,71.26,885,"1,242",-0.18,2011
Chad Campbell,99,71.13,"1,242","1,746",-0.22,2011
John Senden,94,70.86,"1,199","1,692",-0.26,2011
David Toms,78,70.20,935,"1,332",-0.27,2011
Ernie Els,71,69.89,868,"1,242",-0.22,2011
Webb Simpson,98,69.84,"1,232","1,764",-0.32,2011
Bubba Watson,85,69.83,993,"1,422",-0.29,2011
Justin Rose,79,69.48,963,"1,386",-0.26,2011
Bill Haas,93,69.44,"1,150","1,656",-0.27,2011
Gary Woodland,93,69.41,"1,162","1,674",-0.28,2011
Bill Lunde,92,69.38,"1,099","1,584",-0.25,2011
Brandt Jobe,100,69.16,"1,195","1,728",-0.26,2011
Briny Baird,60,69.14,672,972,-0.24,2011
John Rollins,85,69.08,"1,032","1,494",-0.26,2011
D.J. Trahan,91,68.99,"1,130","1,638",-0.23,2011
J.J. Henry,96,68.96,"1,142","1,656",-0.24,2011
Charles Howell III,108,68.91,"1,290","1,872",-0.25,2011
Kris Blanks,92,68.89,"1,116","1,620",-0.24,2011
David Hearn,88,68.82,991,"1,440",-0.23,2011
Hunter Mahan,92,68.79,"1,102","1,602",-0.29,2011
Billy Mayfair,94,68.77,"1,114","1,620",-0.24,2011
John Merrick,71,68.69,779,"1,134",-0.25,2011
William McGirt,103,68.63,"1,223","1,782",-0.23,2011
Chez Reavie,92,68.60,"1,136","1,656",-0.26,2011
Dustin Johnson,72,68.39,874,"1,278",-0.30,2011
Davis Love III,70,68.25,860,"1,260",-0.25,2011
Alexandre Rocha,65,68.23,700,"1,026",-0.19,2011
Kyle Stanley,98,68.21,"1,105","1,620",-0.28,2011
Trevor Immelman,84,68.12,"1,030","1,512",-0.24,2011
Adam Scott,60,68.08,723,"1,062",-0.28,2011
Kevin Stadler,88,68.06,980,"1,440",-0.26,2011
Bo Van Pelt,92,68.02,"1,102","1,620",-0.26,2011
Spencer Levin,113,67.99,"1,334","1,962",-0.26,2011
Jim Herman,69,67.94,746,"1,098",-0.21,2011
Michael Bradley,74,67.62,852,"1,260",-0.25,2011
Jim Furyk,87,67.57,"1,046","1,548",-0.24,2011
Robert Allenby,84,67.54,"1,009","1,494",-0.24,2011
Brian Davis,105,67.35,"1,273","1,890",-0.27,2011
Luke Donald,73,67.33,812,"1,206",-0.33,2011
Jason Bohn,74,67.30,848,"1,260",-0.26,2011
Cameron Tringale,110,67.30,"1,284","1,908",-0.25,2011
Jhonattan Vegas,84,67.22,968,"1,440",-0.25,2011
Johnson Wagner,81,67.17,931,"1,386",-0.22,2011
Aron Price,58,67.09,628,936,-0.25,2011
Billy Horschel,75,67.07,833,"1,242",-0.24,2011
Tommy Gainey,104,67.00,"1,206","1,800",-0.27,2011
Chris Stroud,88,67.00,"1,013","1,512",-0.25,2011
Matt Kuchar,94,66.98,"1,061","1,584",-0.30,2011
Phil Mickelson,79,66.96,928,"1,386",-0.28,2011
Jason Dufner,78,66.95,940,"1,404",-0.26,2011
Josh Teater,104,66.89,"1,180","1,764",-0.27,2011
Woody Austin,59,66.88,638,954,-0.26,2011
Nick Watney,80,66.88,927,"1,386",-0.32,2011
Sergio Garcia,61,66.85,734,"1,098",-0.26,2011
Charley Hoffman,93,66.79,"1,106","1,656",-0.30,2011
Chris Kirk,87,66.67,"1,044","1,566",-0.29,2011
Nick O'Hern,89,66.67,"1,020","1,530",-0.24,2011
Scott Stallings,84,66.60,935,"1,404",-0.26,2011
Martin Laird,77,66.59,911,"1,368",-0.30,2011
Ricky Barnes,78,66.52,934,"1,404",-0.24,2011
J.B. Holmes,57,66.46,634,954,-0.31,2011
Vijay Singh,79,66.46,945,"1,422",-0.26,2011
Brendon de Jonge,105,66.45,"1,208","1,818",-0.28,2011
Steve Elkington,50,66.44,598,900,-0.23,2011
Zach Johnson,79,66.38,932,"1,404",-0.27,2011
Ben Crane,76,66.36,872,"1,314",-0.25,2011
Tom Gillis,55,66.36,657,990,-0.21,2011
Jerry Kelly,85,66.25,954,"1,440",-0.25,2011
Hunter Haas,96,66.24,"1,097","1,656",-0.27,2011
Robert Garrigus,83,66.13,988,"1,494",-0.28,2011
Kent Jones,76,66.12,845,"1,278",-0.22,2011
Alex Cejka,59,66.10,702,"1,062",-0.25,2011
Graeme McDowell,50,66.08,559,846,-0.27,2011
Vaughn Taylor,89,66.04,"1,058","1,602",-0.27,2011
Mark Wilson,89,66.03,"1,034","1,566",-0.24,2011
Steve Stricker,70,66.02,820,"1,242",-0.34,2011
Charl Schwartzel,58,65.97,665,"1,008",-0.27,2011
Alex Prugh,82,65.95,926,"1,404",-0.25,2011
K.J. Choi,77,65.93,890,"1,350",-0.24,2011
Lucas Glover,74,65.92,878,"1,332",-0.28,2011
Keegan Bradley,91,65.90,"1,032","1,566",-0.28,2011
Rod Pampling,72,65.89,759,"1,152",-0.25,2011
Scott Piercy,78,65.84,877,"1,332",-0.28,2011
Rory Sabbatini,85,65.84,960,"1,458",-0.25,2011
Ben Curtis,66,65.82,782,"1,188",-0.22,2011
Steve Marino,76,65.79,900,"1,368",-0.28,2011
Carl Pettersson,95,65.77,"1,101","1,674",-0.30,2011
Justin Hicks,60,65.71,615,936,-0.17,2011
Jonathan Byrd,83,65.65,969,"1,476",-0.28,2011
Tim Herron,85,65.64,957,"1,458",-0.25,2011
Troy Matteson,91,65.64,"1,028","1,566",-0.27,2011
Kevin Streelman,90,65.62,"1,063","1,620",-0.26,2011
Marc Turnesa,54,65.60,614,936,-0.21,2011
Ian Poulter,52,65.58,602,918,-0.27,2011
Blake Adams,116,65.48,"1,320","2,016",-0.27,2011
Aaron Baddeley,77,65.48,884,"1,350",-0.30,2011
Brendan Steele,89,65.45,"1,025","1,566",-0.28,2011
Pat Perez,76,65.42,895,"1,368",-0.28,2011
Stephen Ames,69,65.30,764,"1,170",-0.23,2011
Michael Thompson,79,65.30,858,"1,314",-0.26,2011
Joseph Bramlett,73,65.21,763,"1,170",-0.21,2011
Fabián Gómez,84,65.20,892,"1,368",-0.25,2011
Paul Stankowski,78,65.20,845,"1,296",-0.25,2011
Chris DiMarco,93,65.11,"1,043","1,602",-0.25,2011
Jim Renner,65,65.01,667,"1,026",-0.25,2011
Bryce Molder,82,65.00,936,"1,440",-0.30,2011
Chris Couch,73,64.99,854,"1,314",-0.31,2011
Jason Day,76,64.92,853,"1,314",-0.31,2011
D.A. Points,89,64.92,"1,040","1,602",-0.28,2011
Justin Leonard,82,64.91,958,"1,476",-0.21,2011
Brandt Snedeker,85,64.90,993,"1,530",-0.31,2011
Kevin Chappell,78,64.89,841,"1,296",-0.26,2011
Chris Riley,76,64.81,840,"1,296",-0.21,2011
Sung Kang,63,64.78,688,"1,062",-0.28,2011
Ben Martin,74,64.76,816,"1,260",-0.27,2011
Bobby Gates,82,64.71,862,"1,332",-0.24,2011
Jeff Overton,92,64.53,"1,057","1,638",-0.27,2011
Rickie Fowler,84,64.47,940,"1,458",-0.31,2011
Paul Goydos,81,64.47,940,"1,458",-0.23,2011
Marc Leishman,87,64.43,"1,009","1,566",-0.26,2011
Andres Gonzales,60,64.42,603,936,-0.25,2011
Garrett Willis,71,64.41,800,"1,242",-0.25,2011
Retief Goosen,50,64.40,568,882,-0.27,2011
Shane Bertsch,62,64.38,649,"1,008",-0.28,2011
Michael Putnam,67,64.37,730,"1,134",-0.24,2011
Stewart Cink,72,64.31,764,"1,188",-0.26,2011
David Mathis,83,64.29,891,"1,386",-0.26,2011
Ryuji Imada,83,64.26,960,"1,494",-0.25,2011
Roland Thatcher,67,64.26,775,"1,206",-0.25,2011
George McNeill,69,64.21,705,"1,098",-0.29,2011
Padraig Harrington,60,64.12,681,"1,062",-0.24,2011
Troy Merritt,63,64.12,704,"1,098",-0.21,2011
David Duval,67,64.10,773,"1,206",-0.25,2011
Jimmy Walker,79,63.92,909,"1,422",-0.26,2011
Ángel Cabrera,50,63.89,529,828,-0.30,2011
Michael Connell,76,63.82,873,"1,368",-0.22,2011
Ryan Palmer,82,63.75,918,"1,440",-0.27,2011
Charlie Wi,83,63.65,951,"1,494",-0.28,2011
Steven Bowditch,86,63.62,939,"1,476",-0.31,2011
Tag Ridings,87,63.58,927,"1,458",-0.26,2011
Freddie Jacobson,92,63.56,961,"1,512",-0.29,2011
James Driscoll,71,63.50,743,"1,170",-0.26,2011
Brian Gay,90,63.44,982,"1,548",-0.26,2011
Richard Johnson,64,63.41,662,"1,044",-0.20,2011
Andres Romero,77,63.41,856,"1,350",-0.32,2011
Robert Karlsson,61,63.37,673,"1,062",-0.28,2011
Arjun Atwal,91,63.25,"1,036","1,638",-0.26,2011
Daniel Summerhays,75,63.24,831,"1,314",-0.21,2011
Cameron Beckman,71,63.18,762,"1,206",-0.25,2011
Sean O'Hair,71,63.17,796,"1,260",-0.23,2011
Lee Janzen,62,63.10,636,"1,008",-0.29,2011
Shaun Micheel,77,63.01,828,"1,314",-0.20,2011
Ryan Moore,79,62.89,849,"1,350",-0.29,2011
Derek Lamely,65,62.87,713,"1,134",-0.25,2011
Matt McQuillan,59,62.63,620,990,-0.26,2011
Geoff Ogilvy,69,62.63,744,"1,188",-0.28,2011
Dean Wilson,62,62.63,699,"1,116",-0.25,2011
Scott Gutschewski,67,62.62,665,"1,062",-0.23,2011
Joe Ogilvie,75,62.60,755,"1,206",-0.29,2011
Y.E. Yang,63,62.52,664,"1,062",-0.27,2011
Camilo Villegas,69,62.50,765,"1,224",-0.26,2011
Harrison Frazar,58,62.45,652,"1,044",-0.25,2011
Matt Jones,71,62.36,797,"1,278",-0.28,2011
Nathan Green,81,62.34,864,"1,386",-0.24,2011
Tim Petrovic,88,62.17,940,"1,512",-0.25,2011
Rocco Mediate,53,62.16,593,954,-0.21,2011
Matt Bettencourt,84,62.10,939,"1,512",-0.28,2011
Will Strickler,51,62.06,525,846,-0.23,2011
Colt Knost,80,62.01,826,"1,332",-0.23,2011
Rich Beem,53,61.95,591,954,-0.19,2011
Jarrod Lyle,83,61.95,881,"1,422",-0.23,2011
Zack Miller,86,61.79,912,"1,476",-0.24,2011
Stuart Appleby,65,61.62,721,"1,170",-0.25,2011
Anthony Kim,72,61.58,787,"1,278",-0.28,2011
Nate Smith,66,61.57,665,"1,080",-0.26,2011
J.P. Hayes,56,61.52,598,972,-0.23,2011
Greg Chalmers,88,61.24,948,"1,548",-0.29,2011
Kevin Na,84,61.04,923,"1,512",-0.31,2011
Martin Piller,63,61.02,648,"1,062",-0.24,2011
D.J. Brigman,67,60.92,647,"1,062",-0.24,2011
Scott McCarron,65,60.75,667,"1,098",-0.26,2011
Kevin Kisner,70,60.59,698,"1,152",-0.26,2011
Steve Flesch,88,59.85,905,"1,512",-0.28,2011
Bio Kim,71,59.49,696,"1,170",-0.26,2011
John Senden,103,72.49,"1,344","1,854",-0.23,2010
Kevin Sutherland,86,71.96,"1,114","1,548",-0.24,2010
Joe Durant,67,71.95,790,"1,098",-0.25,2010
Charles Warren,64,71.74,749,"1,044",-0.25,2010
Troy Matteson,84,71.43,"1,080","1,512",-0.22,2010
Graham DeLaet,88,71.27,"1,052","1,476",-0.25,2010
D.J. Trahan,92,71.26,"1,180","1,656",-0.26,2010
Kris Blanks,91,71.15,"1,063","1,494",-0.20,2010
Paul Stankowski,62,70.88,689,972,-0.28,2010
Aron Price,70,70.49,812,"1,152",-0.25,2010
Cameron Percy,73,70.42,862,"1,224",-0.23,2010
Mark Wilson,87,70.28,"1,050","1,494",-0.22,2010
Davis Love III,79,70.25,999,"1,422",-0.24,2010
John Merrick,109,70.24,"1,277","1,818",-0.24,2010
Cameron Tringale,55,70.18,619,882,-0.21,2010
Brett Quigley,96,70.12,"1,199","1,710",-0.24,2010
Brendon de Jonge,114,70.07,"1,337","1,908",-0.28,2010
Garth Mulroy,53,70.07,618,882,-0.22,2010
Boo Weekley,88,70.07,"1,009","1,440",-0.22,2010
Jonathan Byrd,85,70.00,"1,071","1,530",-0.25,2010
Bill Haas,87,69.92,"1,095","1,566",-0.26,2010
Rickie Fowler,98,69.90,"1,233","1,764",-0.26,2010
Spencer Levin,110,69.88,"1,283","1,836",-0.26,2010
Garrett Willis,82,69.87,981,"1,404",-0.25,2010
Tom Pernice Jr.,74,69.78,829,"1,188",-0.23,2010
Mathew Goggin,85,69.74,"1,067","1,530",-0.22,2010
Roger Tambellini,77,69.73,866,"1,242",-0.19,2010
Jeff Gove,57,69.72,640,918,-0.18,2010
Billy Mayfair,78,69.68,878,"1,260",-0.20,2010
Nick Watney,91,69.63,"1,103","1,584",-0.29,2010
Adam Scott,70,69.61,852,"1,224",-0.26,2010
Heath Slocum,97,69.59,"1,165","1,674",-0.22,2010
Briny Baird,87,69.41,"1,037","1,494",-0.22,2010
Matt Kuchar,97,69.36,"1,186","1,710",-0.30,2010
Rocco Mediate,71,69.32,861,"1,242",-0.20,2010
Chris Stroud,90,69.31,"1,023","1,476",-0.23,2010
Bo Van Pelt,104,69.23,"1,296","1,872",-0.27,2010
Henrik Bjornstad,72,69.11,821,"1,188",-0.24,2010
Chad Campbell,94,69.06,"1,156","1,674",-0.23,2010
Kenny Perry,69,69.04,845,"1,224",-0.21,2010
Greg Owen,69,69.00,857,"1,242",-0.23,2010
Dean Wilson,54,68.98,596,864,-0.26,2010
Pat Perez,90,68.95,"1,117","1,620",-0.27,2010
Jay Williamson,76,68.95,844,"1,224",-0.22,2010
Josh Teater,101,68.80,"1,226","1,782",-0.24,2010
J.J. Henry,92,68.72,"1,039","1,512",-0.24,2010
Steve Elkington,74,68.71,841,"1,224",-0.25,2010
Paul Casey,64,68.68,717,"1,044",-0.30,2010
Michael Bradley,77,68.65,902,"1,314",-0.23,2010
Hunter Mahan,85,68.65,"1,038","1,512",-0.25,2010
Vijay Singh,75,68.62,914,"1,332",-0.24,2010
Stewart Cink,84,68.61,988,"1,440",-0.27,2010
Alex Prugh,88,68.60,"1,062","1,548",-0.28,2010
Charles Howell III,103,68.57,"1,222","1,782",-0.26,2010
Bubba Watson,77,68.54,950,"1,386",-0.31,2010
K.J. Choi,82,68.52,962,"1,404",-0.26,2010
Will MacKenzie,72,68.52,888,"1,296",-0.24,2010
Richard Johnson,90,68.50,"1,011","1,476",-0.23,2010
Vaughn Taylor,87,68.33,"1,070","1,566",-0.27,2010
Steve Stricker,73,68.29,885,"1,296",-0.29,2010
Johnson Wagner,85,68.24,995,"1,458",-0.24,2010
Ricky Barnes,103,68.23,"1,265","1,854",-0.26,2010
Ben Crane,85,68.22,"1,007","1,476",-0.27,2010
Sean O'Hair,84,68.22,"1,007","1,476",-0.23,2010
Omar Uresti,74,68.22,835,"1,224",-0.19,2010
John Rollins,81,68.18,994,"1,458",-0.25,2010
Robert Allenby,76,68.17,908,"1,332",-0.27,2010
Brett Wetterich,54,68.11,662,972,-0.26,2010
Ben Curtis,78,68.02,955,"1,404",-0.21,2010
Dustin Johnson,83,67.95,"1,003","1,476",-0.30,2010
Kevin Stadler,86,67.95,954,"1,404",-0.27,2010
Woody Austin,93,67.92,"1,088","1,602",-0.24,2010
Michael Letzig,84,67.92,"1,027","1,512",-0.26,2010
D.A. Points,90,67.90,"1,100","1,620",-0.23,2010
Ernie Els,72,67.86,855,"1,260",-0.27,2010
Nicholas Thompson,88,67.86,"1,026","1,512",-0.23,2010
Martin Laird,91,67.83,"1,111","1,638",-0.26,2010
Freddie Jacobson,83,67.80,"1,013","1,494",-0.26,2010
Stephen Ames,75,67.79,903,"1,332",-0.25,2010
Jason Bohn,84,67.79,"1,025","1,512",-0.27,2010
Bob Estes,79,67.79,964,"1,422",-0.23,2010
Scott Piercy,88,67.74,"1,073","1,584",-0.28,2010
Geoff Ogilvy,62,67.69,731,"1,080",-0.28,2010
Jason Day,82,67.68,999,"1,476",-0.25,2010
Lee Janzen,77,67.68,938,"1,386",-0.23,2010
Robert Garrigus,71,67.61,791,"1,170",-0.28,2010
David Toms,86,67.58,"1,034","1,530",-0.27,2010
Jerry Kelly,99,67.49,"1,154","1,710",-0.24,2010
Steve Marino,81,67.49,984,"1,458",-0.27,2010
Lucas Glover,75,67.42,898,"1,332",-0.26,2010
Chris DiMarco,88,67.39,"1,019","1,512",-0.25,2010
Chris Riley,73,67.33,812,"1,206",-0.24,2010
Jim Furyk,76,67.12,894,"1,332",-0.26,2010
John Mallinger,78,67.11,918,"1,368",-0.24,2010
Michael Connell,89,66.94,976,"1,458",-0.25,2010
Jeff Overton,89,66.86,"1,023","1,530",-0.29,2010
James Driscoll,78,66.81,938,"1,404",-0.26,2010
Brent Delahoussaye,57,66.78,613,918,-0.20,2010
Mathias Grönberg,61,66.77,661,990,-0.21,2010
Jeff Maggert,76,66.75,817,"1,224",-0.22,2010
Rory Sabbatini,79,66.74,913,"1,368",-0.27,2010
Blake Adams,84,66.73,985,"1,476",-0.26,2010
Tim Clark,88,66.73,"1,021","1,530",-0.27,2010
Jason Dufner,87,66.67,"1,044","1,566",-0.23,2010
Cliff Kresge,50,66.67,552,828,-0.22,2010
Marc Leishman,87,66.67,"1,044","1,566",-0.25,2010
Ryan Moore,80,66.67,948,"1,422",-0.27,2010
Kevin Streelman,90,66.67,"1,032","1,548",-0.29,2010
Alex Cejka,81,66.60,947,"1,422",-0.23,2010
Charlie Wi,95,66.55,"1,138","1,710",-0.27,2010
Zach Johnson,93,66.54,"1,090","1,638",-0.28,2010
Charley Hoffman,85,66.53,994,"1,494",-0.31,2010
Tim Herron,79,66.51,874,"1,314",-0.24,2010
Chris Couch,66,66.50,790,"1,188",-0.30,2010
Brenden Pappas,66,66.49,742,"1,116",-0.24,2010
James Nitties,92,66.47,"1,029","1,548",-0.26,2010
Chris Tidland,77,66.36,872,"1,314",-0.24,2010
Tim Petrovic,105,66.35,"1,254","1,890",-0.25,2010
Justin Rose,78,66.31,931,"1,404",-0.28,2010
Rory McIlroy,54,66.24,620,936,-0.25,2010
Webb Simpson,98,66.16,"1,167","1,764",-0.28,2010
Cameron Beckman,68,66.15,762,"1,152",-0.21,2010
Sergio Garcia,58,66.13,619,936,-0.24,2010
David Duval,71,66.10,821,"1,242",-0.27,2010
Joe Ogilvie,99,66.07,"1,106","1,674",-0.26,2010
Trevor Immelman,55,66.06,654,990,-0.20,2010
Camilo Villegas,78,66.05,856,"1,296",-0.25,2010
George McNeill,79,66.03,939,"1,422",-0.27,2010
Greg Chalmers,93,66.01,"1,105","1,674",-0.27,2010
J.P. Hayes,79,66.00,891,"1,350",-0.28,2010
Tom Gillis,97,65.98,"1,152","1,746",-0.30,2010
Andrew McLardy,52,65.97,570,864,-0.22,2010
Retief Goosen,75,65.96,843,"1,278",-0.29,2010
Paul Goydos,78,65.95,926,"1,404",-0.25,2010
Y.E. Yang,72,65.95,831,"1,260",-0.28,2010
Roland Thatcher,72,65.90,854,"1,296",-0.21,2010
Kevin Na,94,65.89,"1,103","1,674",-0.28,2010
Jimmy Walker,82,65.88,925,"1,404",-0.26,2010
Bill Lunde,79,65.85,889,"1,350",-0.22,2010
Scott McCarron,90,65.80,"1,066","1,620",-0.26,2010
Ángel Cabrera,64,65.78,746,"1,134",-0.25,2010
John Daly,63,65.66,650,990,-0.26,2010
Steve Lowery,67,65.52,743,"1,134",-0.23,2010
J.B. Holmes,100,65.50,"1,179","1,800",-0.29,2010
Mark Calcavecchia,50,65.48,495,756,-0.22,2010
Troy Merritt,86,65.48,990,"1,512",-0.29,2010
Ryan Palmer,84,65.48,990,"1,512",-0.30,2010
Jeff Quinney,91,65.45,"1,025","1,566",-0.28,2010
Jarrod Lyle,54,65.34,541,828,-0.23,2010
Michael Sim,64,65.34,741,"1,134",-0.28,2010
Matt Jones,89,65.29,"1,046","1,602",-0.29,2010
Luke Donald,71,65.28,799,"1,224",-0.26,2010
Bryce Molder,84,65.28,940,"1,440",-0.25,2010
Jeev Milkha Singh,59,65.28,611,936,-0.23,2010
Phil Mickelson,76,65.13,891,"1,368",-0.31,2010
Justin Leonard,89,65.09,"1,031","1,584",-0.26,2010
Andres Romero,73,65.07,855,"1,314",-0.26,2010
Brian Stuard,81,65.04,878,"1,350",-0.24,2010
Rod Pampling,77,64.94,900,"1,386",-0.24,2010
Justin Bolli,55,64.85,572,882,-0.19,2010
Martin Flores,75,64.79,828,"1,278",-0.25,2010
Matt Every,60,64.75,676,"1,044",-0.28,2010
Shaun Micheel,70,64.61,721,"1,116",-0.25,2010
Aaron Baddeley,94,64.60,"1,093","1,692",-0.31,2010
Ryuji Imada,90,64.51,"1,045","1,620",-0.27,2010
David Lutterus,69,64.29,729,"1,134",-0.21,2010
Ted Purdy,86,63.96,944,"1,476",-0.24,2010
Scott Verplank,74,63.85,839,"1,314",-0.26,2010
Carl Pettersson,99,63.80,"1,045","1,638",-0.29,2010
Steve Wheatcroft,74,63.47,754,"1,188",-0.25,2010
Brian Gay,101,63.44,"1,119","1,764",-0.27,2010
Chad Collins,87,63.29,900,"1,422",-0.27,2010
Chris Wilson,65,63.28,672,"1,062",-0.21,2010
Nathan Green,86,63.18,978,"1,548",-0.24,2010
Brian Davis,101,63.09,"1,147","1,818",-0.24,2010
Steve Flesch,78,62.76,836,"1,332",-0.25,2010
Vance Veazey,58,62.71,587,936,-0.22,2010
Craig Bowden,56,62.64,575,918,-0.18,2010
Skip Kendall,58,62.56,563,900,-0.23,2010
Kevin Johnson,62,62.50,630,"1,008",-0.21,2010
Ian Poulter,55,62.47,551,882,-0.23,2010
Brandt Snedeker,89,62.36,999,"1,602",-0.31,2010
Derek Lamely,81,61.93,836,"1,350",-0.25,2010
Padraig Harrington,57,61.90,624,"1,008",-0.29,2010
Stuart Appleby,101,61.84,"1,102","1,782",-0.26,2010
Rich Barcelo,70,61.72,711,"1,152",-0.27,2010
Daniel Chopra,74,61.64,821,"1,332",-0.27,2010
Greg Kraft,52,60.63,502,828,-0.19,2010
Matt Bettencourt,91,60.17,899,"1,494",-0.30,2010
Brad Faxon,58,59.05,574,972,-0.26,2010
Jerod Turner,54,58.94,488,828,-0.25,2010
Mike Weir,59,57.89,594,"1,026",-0.26,2010
