Player Name,Rounds,Average Scrambling,Par or Better,Missed GIR,Year
Bud Cauley,99,62.42,372,596,2012
Jason Dufner,83,62.42,284,455,2012
Brandt Snedeker,81,62.08,316,509,2012
Greg Chalmers,88,62.00,390,629,2012
Justin Rose,69,61.98,225,363,2012
David Toms,60,61.86,219,354,2012
Pat Perez,81,61.77,307,497,2012
Billy Mayfair,90,61.76,344,557,2012
Jonas Blixt,72,61.57,282,458,2012
Phil Mickelson,79,61.57,314,510,2012
Chris Stroud,86,61.55,349,567,2012
Jason Day,57,61.36,235,383,2012
Bryce Molder,83,61.32,306,499,2012
Kevin Na,80,61.30,331,540,2012
Rocco Mediate,70,61.23,248,405,2012
David Hearn,95,61.11,352,576,2012
Ernie Els,80,61.06,287,470,2012
Bob Estes,78,60.98,322,528,2012
Ken Duke,104,60.91,388,637,2012
Bill Haas,79,60.74,297,489,2012
J.J. Killeen,101,60.45,402,665,2012
Stuart Appleby,75,60.44,272,450,2012
Zach Johnson,95,60.37,358,593,2012
Carl Pettersson,92,60.37,361,598,2012
Dustin Johnson,70,60.29,249,413,2012
Rory McIlroy,60,60.24,197,327,2012
Steve Stricker,73,60.15,240,399,2012
Scott Piercy,95,59.90,351,586,2012
Billy Horschel,63,59.87,185,309,2012
Aaron Baddeley,73,59.85,325,543,2012
Gavin Coles,72,59.76,254,425,2012
Padraig Harrington,67,59.67,256,429,2012
Kevin Kisner,69,59.47,245,412,2012
Jerry Kelly,84,59.39,294,495,2012
Jeff Overton,101,59.35,349,588,2012
Vijay Singh,99,59.30,357,602,2012
Justin Leonard,79,59.18,316,534,2012
Charlie Wi,86,59.13,369,624,2012
Troy Kelly,68,59.12,243,411,2012
Martin Flores,95,59.04,356,603,2012
Henrik Stenson,51,59.04,173,293,2012
Brian Harman,101,58.99,387,656,2012
Charl Schwartzel,56,58.95,214,363,2012
Brian Davis,91,58.92,337,572,2012
Cameron Tringale,88,58.79,311,529,2012
John Mallinger,74,58.77,248,422,2012
Bill Lunde,83,58.68,257,438,2012
Rory Sabbatini,84,58.67,335,571,2012
Jonathan Byrd,69,58.65,261,445,2012
Webb Simpson,77,58.65,261,445,2012
Kevin Stadler,85,58.61,262,447,2012
Brendon de Jonge,115,58.60,361,616,2012
William McGirt,96,58.60,327,558,2012
Matt Jones,53,58.52,182,311,2012
Roberto Castro,92,58.49,286,489,2012
Nick O'Hern,78,58.49,286,489,2012
Jeff Maggert,83,58.48,300,513,2012
Scott Dunlap,57,58.47,176,301,2012
Ben Curtis,62,58.46,190,325,2012
Matt Every,80,58.44,270,462,2012
Tom Gillis,75,58.40,285,488,2012
Sergio Garcia,57,58.36,206,353,2012
Heath Slocum,93,58.33,287,492,2012
Chris Kirk,93,58.32,312,535,2012
Chris Couch,61,58.29,225,386,2012
Ryan Palmer,81,58.27,296,508,2012
Ryuji Imada,78,58.26,314,539,2012
Marc Leishman,84,58.26,328,563,2012
Russell Knox,72,58.24,212,364,2012
Kevin Streelman,89,58.22,308,529,2012
Jimmy Walker,101,58.09,377,649,2012
Tim Clark,60,58.03,224,386,2012
Seung-Yul Noh,105,58.00,330,569,2012
John Rollins,81,58.00,272,469,2012
Spencer Levin,81,57.84,321,555,2012
Kevin Chappell,91,57.83,325,562,2012
Mark Wilson,84,57.82,292,505,2012
David Mathis,83,57.78,312,540,2012
Graham DeLaet,79,57.68,259,449,2012
Y.E. Yang,64,57.67,267,463,2012
Nathan Green,73,57.62,223,387,2012
J.J. Henry,93,57.61,280,486,2012
Billy Hurley III,70,57.57,289,502,2012
Keegan Bradley,90,57.55,305,530,2012
Freddie Jacobson,61,57.52,237,412,2012
Dicky Pride,62,57.39,198,345,2012
John Senden,81,57.37,253,441,2012
Derek Lamely,64,57.34,254,443,2012
George McNeill,85,57.33,309,539,2012
Ben Crane,73,57.24,261,456,2012
Rod Pampling,88,57.23,289,505,2012
Tim Herron,88,57.06,295,517,2012
Kyle Reifers,86,56.96,274,481,2012
Steve Wheatcroft,56,56.91,173,304,2012
Will Claxton,99,56.90,301,529,2012
Chris DiMarco,83,56.86,319,561,2012
Johnson Wagner,88,56.85,307,540,2012
Mathew Goggin,65,56.82,204,359,2012
Rickie Fowler,84,56.79,297,523,2012
Ryan Moore,89,56.77,306,539,2012
Danny Lee,74,56.66,234,413,2012
Trevor Immelman,76,56.60,283,500,2012
Bubba Watson,68,56.58,202,357,2012
Chez Reavie,83,56.52,286,506,2012
Stephen Ames,54,56.50,200,354,2012
D.A. Points,88,56.50,300,531,2012
Troy Matteson,100,56.49,344,609,2012
Jason Kokrak,79,56.43,259,459,2012
Vaughn Taylor,81,56.26,256,455,2012
Tom Pernice Jr.,62,56.25,225,400,2012
Charles Howell III,98,56.20,331,589,2012
Jason Bohn,81,56.07,268,478,2012
Josh Teater,97,56.07,305,544,2012
Sean O'Hair,84,56.04,269,480,2012
Daniel Summerhays,81,56.03,251,448,2012
Blake Adams,107,56.01,354,632,2012
Andres Romero,68,55.98,234,418,2012
J.B. Holmes,90,55.92,293,524,2012
Martin Laird,77,55.92,255,456,2012
Bobby Gates,87,55.90,289,517,2012
Adam Scott,59,55.87,195,349,2012
Brendon Todd,78,55.75,281,504,2012
Bo Van Pelt,84,55.69,274,492,2012
Patrick Sheehan,58,55.62,193,347,2012
"Ted Potter, Jr.",77,55.60,268,482,2012
Robert Garrigus,89,55.58,274,493,2012
John Huh,99,55.52,332,598,2012
Brendan Steele,77,55.48,253,456,2012
Michael Thompson,80,55.39,293,529,2012
Arjun Atwal,79,55.37,263,475,2012
Louis Oosthuizen,65,55.37,196,354,2012
Gary Christian,91,55.25,279,505,2012
Colt Knost,79,55.24,290,525,2012
Nick Watney,97,55.11,313,568,2012
Hunter Haas,69,55.02,230,418,2012
Richard Lee,71,54.99,204,371,2012
Sung Kang,75,54.98,287,522,2012
Chad Campbell,84,54.93,273,497,2012
John Merrick,83,54.90,241,439,2012
Davis Love III,64,54.84,221,403,2012
Ricky Barnes,92,54.74,283,517,2012
Kris Blanks,65,54.71,209,382,2012
K.J. Choi,71,54.68,251,459,2012
Camilo Villegas,79,54.50,230,422,2012
Ryo Ishikawa,54,54.44,190,349,2012
James Driscoll,83,54.39,291,535,2012
Greg Owen,90,54.03,275,509,2012
Harrison Frazar,56,53.85,203,377,2012
Michael Bradley,63,53.80,198,368,2012
Brandt Jobe,57,53.71,181,337,2012
Hunter Mahan,88,53.71,246,458,2012
Harris English,98,53.60,305,569,2012
Alexandre Rocha,62,53.59,179,334,2012
Erik Compton,81,53.55,264,493,2012
Tommy Gainey,98,53.53,356,665,2012
Mark Anderson,75,53.45,240,449,2012
D.J. Trahan,73,53.43,226,423,2012
Daniel Chopra,55,53.39,197,369,2012
Stephen Gangluff,57,53.33,200,375,2012
Charlie Beljan,61,53.13,170,320,2012
Boo Weekley,74,53.04,192,362,2012
Stewart Cink,71,52.90,228,431,2012
Cameron Beckman,81,52.81,254,481,2012
Gary Woodland,70,52.80,236,447,2012
Robert Karlsson,54,52.62,181,344,2012
Kyle Stanley,86,52.61,262,498,2012
John Daly,50,52.55,165,314,2012
Scott Stallings,78,52.33,247,472,2012
Marco Dawson,60,52.21,189,362,2012
Graeme McDowell,55,51.83,170,328,2012
Miguel Angel Carballo,73,51.70,213,412,2012
Matt Bettencourt,80,51.69,275,532,2012
Garth Mulroy,59,51.68,185,358,2012
Charley Hoffman,88,51.41,274,533,2012
Sangmoon Bae,81,50.99,284,557,2012
Robert Allenby,76,50.85,238,468,2012
Tommy Biershenk,74,50.31,247,491,2012
Scott Brown,65,50.13,189,377,2012
Roland Thatcher,55,50.00,142,284,2012
Jhonattan Vegas,77,49.78,228,458,2012
Ángel Cabrera,54,49.09,162,330,2012
Kyle Thompson,51,48.99,146,298,2012
Edward Loar,59,48.34,175,362,2012
Lee Westwood,60,48.30,142,294,2012
Greg Chalmers,88,65.17,391,600,2011
Steve Stricker,70,64.93,274,422,2011
Jason Day,76,64.64,298,461,2011
Zach Johnson,79,63.98,302,472,2011
Woody Austin,59,63.92,202,316,2011
Charles Howell III,108,63.92,372,582,2011
Brian Gay,90,63.78,361,566,2011
Luke Donald,73,63.71,251,394,2011
Kevin Na,84,63.50,374,589,2011
Rod Pampling,72,63.10,248,393,2011
Mark Wilson,89,62.97,335,532,2011
Nick Watney,80,62.96,289,459,2011
Matt Kuchar,94,62.91,329,523,2011
Jerry Kelly,85,62.55,304,486,2011
Bryce Molder,82,62.50,315,504,2011
Webb Simpson,98,62.22,331,532,2011
Phil Mickelson,79,62.01,284,458,2011
Justin Leonard,82,61.97,321,518,2011
Dean Wilson,62,61.63,257,417,2011
Chris Riley,76,61.62,281,456,2011
Ben Curtis,66,61.58,250,406,2011
Brandt Snedeker,85,61.45,330,537,2011
Ben Crane,76,61.31,271,442,2011
Y.E. Yang,63,61.31,244,398,2011
David Toms,78,61.21,243,397,2011
Nathan Green,81,60.92,318,522,2011
K.J. Choi,77,60.87,280,460,2011
Chris Couch,73,60.87,280,460,2011
Billy Mayfair,94,60.87,308,506,2011
Michael Connell,76,60.81,301,495,2011
David Mathis,83,60.81,301,495,2011
Michael Thompson,79,60.75,277,456,2011
Blake Adams,116,60.63,422,696,2011
Freddie Jacobson,92,60.62,334,551,2011
Stephen Ames,69,60.59,246,406,2011
Scott McCarron,65,60.56,261,431,2011
Kevin Streelman,90,60.50,337,557,2011
Tim Petrovic,88,60.49,346,572,2011
Chris DiMarco,93,60.47,338,559,2011
Robert Karlsson,61,60.41,235,389,2011
Spencer Levin,113,60.35,379,628,2011
Brendon de Jonge,105,60.33,368,610,2011
Steve Elkington,50,60.26,182,302,2011
Sergio Garcia,61,60.16,219,364,2011
Ryan Moore,79,60.08,301,501,2011
Briny Baird,60,60.00,180,300,2011
Ryan Palmer,82,59.96,313,522,2011
Hunter Haas,96,59.93,335,559,2011
Padraig Harrington,60,59.84,228,381,2011
Charl Schwartzel,58,59.77,205,343,2011
William McGirt,103,59.75,334,559,2011
Geoff Ogilvy,69,59.68,265,444,2011
David Hearn,88,59.47,267,449,2011
Jimmy Walker,79,59.45,305,513,2011
Aaron Baddeley,77,59.44,277,466,2011
Paul Stankowski,78,59.42,268,451,2011
Shane Bertsch,62,59.33,213,359,2011
Nick O'Hern,89,59.22,302,510,2011
Joe Durant,71,59.10,211,357,2011
Tim Herron,85,59.08,296,501,2011
Martin Laird,77,59.08,270,457,2011
Brian Davis,105,59.00,364,617,2011
Adam Scott,60,59.00,200,339,2011
Charlie Wi,83,58.93,320,543,2011
Ryuji Imada,83,58.80,314,534,2011
Robert Allenby,84,58.76,285,485,2011
Brandt Jobe,100,58.72,313,533,2011
Bo Van Pelt,92,58.69,304,518,2011
Shaun Micheel,77,58.64,285,486,2011
Jason Dufner,78,58.62,272,464,2011
Marc Leishman,87,58.53,326,557,2011
Kevin Chappell,78,58.46,266,455,2011
Carl Pettersson,95,58.46,335,573,2011
Vaughn Taylor,89,58.46,318,544,2011
Anthony Kim,72,58.45,287,491,2011
Jim Furyk,87,58.37,293,502,2011
D.A. Points,89,58.36,328,562,2011
Pat Perez,76,58.35,276,473,2011
Bill Haas,93,58.30,295,506,2011
J.P. Hayes,56,58.29,218,374,2011
Retief Goosen,50,58.28,183,314,2011
D.J. Trahan,91,58.27,296,508,2011
Jason Bohn,74,58.25,240,412,2011
Rory Sabbatini,85,58.23,290,498,2011
Jim Renner,65,58.22,209,359,2011
Gary Woodland,93,58.20,298,512,2011
Michael Putnam,67,58.17,235,404,2011
Garrett Willis,71,58.14,257,442,2011
Trevor Immelman,84,58.09,280,482,2011
Nate Smith,66,58.07,241,415,2011
John Merrick,71,58.03,206,355,2011
Hunter Mahan,92,58.00,290,500,2011
Roland Thatcher,67,58.00,250,431,2011
Kris Blanks,92,57.94,292,504,2011
Justin Rose,79,57.92,245,423,2011
Johnson Wagner,81,57.80,263,455,2011
Steve Marino,76,57.69,270,468,2011
Cameron Tringale,110,57.69,360,624,2011
Chris Kirk,87,57.66,301,522,2011
Scott Piercy,78,57.58,262,455,2011
Matt McQuillan,59,57.57,213,370,2011
Chad Campbell,99,57.54,290,504,2011
Chris Stroud,88,57.31,286,499,2011
Jarrod Lyle,83,57.30,310,541,2011
Vijay Singh,79,57.23,273,477,2011
Jonathan Byrd,83,57.20,290,507,2011
Stewart Cink,72,57.08,242,424,2011
Steve Flesch,88,57.00,346,607,2011
Joe Ogilvie,75,56.98,257,451,2011
Matt Jones,71,56.96,274,481,2011
Alex Cejka,59,56.94,205,360,2011
James Driscoll,71,56.91,243,427,2011
Cameron Beckman,71,56.76,252,444,2011
Bill Lunde,92,56.70,275,485,2011
Scott Gutschewski,67,56.68,225,397,2011
Sung Kang,63,56.68,212,374,2011
Ricky Barnes,78,56.60,266,470,2011
Jim Herman,69,56.53,199,352,2011
Joseph Bramlett,73,56.51,230,407,2011
Andres Romero,77,56.48,279,494,2011
Troy Merritt,63,56.35,222,394,2011
Ian Poulter,52,56.33,178,316,2011
John Rollins,85,56.28,260,462,2011
George McNeill,69,56.23,221,393,2011
Keegan Bradley,91,56.18,300,534,2011
J.J. Henry,96,56.03,288,514,2011
Camilo Villegas,69,55.99,257,459,2011
Stuart Appleby,65,55.90,251,449,2011
Tom Gillis,55,55.86,186,333,2011
Paul Goydos,81,55.79,289,518,2011
Arjun Atwal,91,55.65,335,602,2011
Troy Matteson,91,55.58,299,538,2011
Tommy Gainey,104,55.39,329,594,2011
Tag Ridings,87,55.37,294,531,2011
Colt Knost,80,55.34,280,506,2011
Alexandre Rocha,65,55.21,180,326,2011
Aron Price,58,55.19,170,308,2011
Daniel Summerhays,75,55.07,266,483,2011
Rickie Fowler,84,55.02,285,518,2011
Chez Reavie,92,55.00,286,520,2011
Matt Bettencourt,84,54.97,315,573,2011
Bio Kim,71,54.85,260,474,2011
Kevin Kisner,70,54.85,249,454,2011
Lee Janzen,62,54.84,204,372,2011
John Senden,94,54.77,270,493,2011
Sean O'Hair,71,54.74,254,464,2011
Jeff Overton,92,54.73,318,581,2011
Jhonattan Vegas,84,54.66,258,472,2011
Heath Slocum,89,54.53,247,453,2011
Brendan Steele,89,54.53,295,541,2011
Kent Jones,76,54.50,236,433,2011
Josh Teater,104,54.45,318,584,2011
Zack Miller,86,54.26,306,564,2011
Will Strickler,51,54.21,174,321,2011
Richard Johnson,64,54.19,207,382,2011
Kyle Stanley,98,54.17,279,515,2011
Harrison Frazar,58,54.08,212,392,2011
J.B. Holmes,57,54.06,173,320,2011
Billy Horschel,75,54.03,221,409,2011
Graeme McDowell,50,54.01,155,287,2011
Davis Love III,70,54.00,216,400,2011
Lucas Glover,74,53.74,244,454,2011
Charley Hoffman,93,53.64,295,550,2011
Robert Garrigus,83,53.56,271,506,2011
Scott Stallings,84,53.52,251,469,2011
D.J. Brigman,67,53.49,222,415,2011
Ben Martin,74,52.93,235,444,2011
Rich Beem,53,52.89,192,363,2011
Andres Gonzales,60,52.85,176,333,2011
Boo Weekley,66,52.85,167,316,2011
Marc Turnesa,54,52.80,170,322,2011
David Duval,67,52.66,228,433,2011
Martin Piller,63,52.66,218,414,2011
Kevin Stadler,88,52.39,241,460,2011
Steven Bowditch,86,52.33,281,537,2011
Ángel Cabrera,50,52.17,156,299,2011
Fabián Gómez,84,52.10,248,476,2011
Rocco Mediate,53,51.80,187,361,2011
Michael Bradley,74,51.72,211,408,2011
Bobby Gates,82,51.49,242,470,2011
Dustin Johnson,72,51.24,207,404,2011
Ernie Els,71,51.07,191,374,2011
Derek Lamely,65,50.83,214,421,2011
Bubba Watson,85,50.82,218,429,2011
Justin Hicks,60,50.47,162,321,2011
Alex Prugh,82,47.91,229,478,2011
Dean Wilson,54,67.16,180,268,2010
Brian Gay,101,66.51,429,645,2010
Charlie Wi,95,65.56,375,572,2010
Luke Donald,71,65.41,278,425,2010
Matt Kuchar,97,64.69,339,524,2010
Chris Riley,73,64.47,254,394,2010
Charles Howell III,103,64.46,361,560,2010
Kevin Na,94,64.45,368,571,2010
Chad Collins,87,64.37,336,522,2010
Greg Chalmers,93,64.32,366,569,2010
Steve Elkington,74,64.23,246,383,2010
Retief Goosen,75,63.91,278,435,2010
Justin Rose,78,63.85,302,473,2010
Steve Stricker,73,63.75,262,411,2010
Jeev Milkha Singh,59,63.69,207,325,2010
Jim Furyk,76,63.47,278,438,2010
Freddie Jacobson,83,63.20,304,481,2010
Ryuji Imada,90,63.13,363,575,2010
Heath Slocum,97,62.87,320,509,2010
K.J. Choi,82,62.67,277,442,2010
Tim Clark,88,62.67,319,509,2010
J.B. Holmes,100,62.48,388,621,2010
Kevin Sutherland,86,62.44,271,434,2010
Bryce Molder,84,62.40,312,500,2010
Bo Van Pelt,104,62.33,359,576,2010
Pat Perez,90,62.23,313,503,2010
Mark Wilson,87,62.16,276,444,2010
Carl Pettersson,99,62.06,368,593,2010
Chris DiMarco,88,61.87,305,493,2010
Brian Davis,101,61.85,415,671,2010
Phil Mickelson,76,61.84,295,477,2010
Sean O'Hair,84,61.83,290,469,2010
Kenny Perry,69,61.74,234,379,2010
Jonathan Byrd,85,61.66,283,459,2010
Michael Sim,64,61.58,242,393,2010
Graham DeLaet,88,61.56,261,424,2010
Briny Baird,87,61.49,281,457,2010
Omar Uresti,74,61.44,239,389,2010
David Toms,86,61.29,304,496,2010
Shaun Micheel,70,61.27,242,395,2010
Ernie Els,72,61.23,248,405,2010
Padraig Harrington,57,61.20,235,384,2010
Scott McCarron,90,61.19,339,554,2010
Brandt Snedeker,89,61.19,369,603,2010
Paul Casey,64,60.86,199,327,2010
Andres Romero,73,60.78,279,459,2010
Ryan Moore,80,60.76,288,474,2010
Matt Jones,89,60.61,337,556,2010
Charley Hoffman,85,60.60,303,500,2010
Bob Estes,79,60.48,277,458,2010
Jason Day,82,60.38,288,477,2010
Tim Petrovic,105,60.38,384,636,2010
Boo Weekley,88,60.32,260,431,2010
Tom Gillis,97,60.27,358,594,2010
Nathan Green,86,60.18,343,570,2010
Rory McIlroy,54,60.13,190,316,2010
Ian Poulter,55,59.82,198,331,2010
Jay Williamson,76,59.74,227,380,2010
Jeff Quinney,91,59.70,323,541,2010
Ben Curtis,78,59.69,268,449,2010
Stephen Ames,75,59.67,256,429,2010
J.J. Henry,92,59.62,282,473,2010
Tom Pernice Jr.,74,59.61,214,359,2010
Ricky Barnes,103,59.59,351,589,2010
Trevor Immelman,55,59.52,200,336,2010
Rickie Fowler,98,59.51,316,531,2010
Michael Bradley,77,59.47,245,412,2010
Rod Pampling,77,59.47,289,486,2010
Chad Campbell,94,59.46,308,518,2010
Webb Simpson,98,59.46,355,597,2010
Scott Verplank,74,59.37,282,475,2010
Richard Johnson,90,59.35,276,465,2010
Will MacKenzie,72,59.31,242,408,2010
John Rollins,81,59.27,275,464,2010
Michael Connell,89,59.13,285,482,2010
Joe Durant,67,59.09,182,308,2010
Ben Crane,85,59.06,277,469,2010
Cliff Kresge,50,59.06,163,276,2010
Spencer Levin,110,58.95,326,553,2010
Tim Herron,79,58.86,259,440,2010
Stuart Appleby,101,58.82,400,680,2010
Mike Weir,59,58.80,254,432,2010
Brett Wetterich,54,58.71,182,310,2010
John Mallinger,78,58.67,264,450,2010
Hunter Mahan,85,58.65,278,474,2010
D.A. Points,90,58.65,305,520,2010
Woody Austin,93,58.56,301,514,2010
Aron Price,70,58.53,199,340,2010
Jimmy Walker,82,58.46,280,479,2010
Mathias Grönberg,61,58.36,192,329,2010
Craig Bowden,56,58.31,200,343,2010
Jason Dufner,87,58.24,304,522,2010
Cameron Beckman,68,58.21,227,390,2010
James Nitties,92,58.19,302,519,2010
James Driscoll,78,58.15,271,466,2010
Johnson Wagner,85,58.10,269,463,2010
Matt Bettencourt,91,57.98,345,595,2010
Bill Haas,87,57.96,273,471,2010
Brett Quigley,96,57.93,296,511,2010
Jerry Kelly,99,57.91,322,556,2010
Jarrod Lyle,54,57.84,166,287,2010
Lee Janzen,77,57.81,259,448,2010
Zach Johnson,93,57.66,316,548,2010
John Senden,103,57.65,294,510,2010
Matt Every,60,57.61,212,368,2010
Skip Kendall,58,57.57,194,337,2010
Camilo Villegas,78,57.50,253,440,2010
Jason Bohn,84,57.49,280,487,2010
Bill Lunde,79,57.48,265,461,2010
Chris Tidland,77,57.47,254,442,2010
Vaughn Taylor,87,57.46,285,496,2010
Blake Adams,84,57.43,282,491,2010
Chris Stroud,90,57.40,260,453,2010
Justin Leonard,89,57.32,317,553,2010
Martin Laird,91,57.31,302,527,2010
Roland Thatcher,72,57.24,253,442,2010
Aaron Baddeley,94,57.10,342,599,2010
Stewart Cink,84,57.08,258,452,2010
Derek Lamely,81,57.00,293,514,2010
Rocco Mediate,71,56.96,217,381,2010
John Merrick,109,56.93,308,541,2010
Cameron Percy,73,56.91,206,362,2010
Marc Leishman,87,56.90,297,522,2010
Josh Teater,101,56.83,316,556,2010
Jeff Overton,89,56.80,288,507,2010
Joe Ogilvie,99,56.69,322,568,2010
Kevin Streelman,90,56.59,292,516,2010
Rory Sabbatini,79,56.48,257,455,2010
Vijay Singh,75,56.46,236,418,2010
Alex Cejka,81,56.42,268,475,2010
Robert Allenby,76,56.37,239,424,2010
Steve Marino,81,56.33,267,474,2010
Chris Couch,66,56.28,224,398,2010
Y.E. Yang,72,56.18,241,429,2010
Daniel Chopra,74,56.16,287,511,2010
Geoff Ogilvy,62,56.16,196,349,2010
Michael Letzig,84,56.08,272,485,2010
Kevin Stadler,86,56.00,252,450,2010
Dustin Johnson,83,55.81,264,473,2010
Troy Matteson,84,55.79,241,432,2010
J.P. Hayes,79,55.77,256,459,2010
Jeff Maggert,76,55.77,227,407,2010
Brenden Pappas,66,55.61,208,374,2010
Ryan Palmer,84,55.56,290,522,2010
Brendon de Jonge,114,55.52,317,571,2010
Nick Watney,91,55.51,267,481,2010
Billy Mayfair,78,55.50,212,382,2010
Bubba Watson,77,55.50,242,436,2010
George McNeill,79,55.49,268,483,2010
Paul Stankowski,62,55.48,157,283,2010
Alex Prugh,88,55.35,269,486,2010
Garrett Willis,82,55.32,234,423,2010
Ángel Cabrera,64,55.15,214,388,2010
Steve Flesch,78,55.04,273,496,2010
Paul Goydos,78,55.02,263,478,2010
Troy Merritt,86,54.98,287,522,2010
D.J. Trahan,92,54.83,261,476,2010
David Lutterus,69,54.81,222,405,2010
Scott Piercy,88,54.79,280,511,2010
Charles Warren,64,54.58,161,295,2010
Sergio Garcia,58,54.57,173,317,2010
Justin Bolli,55,54.52,169,310,2010
Brian Stuard,81,54.45,257,472,2010
Brent Delahoussaye,57,54.43,166,305,2010
Davis Love III,79,54.37,230,423,2010
Roger Tambellini,77,54.26,204,376,2010
Mathew Goggin,85,54.21,251,463,2010
Rich Barcelo,70,54.20,239,441,2010
Lucas Glover,75,54.15,235,434,2010
Kris Blanks,91,54.06,233,431,2010
Adam Scott,70,54.03,201,372,2010
Martin Flores,75,54.00,243,450,2010
Chris Wilson,65,53.85,210,390,2010
John Daly,63,53.53,182,340,2010
Garth Mulroy,53,53.41,141,264,2010
Andrew McLardy,52,53.40,157,294,2010
Greg Kraft,52,53.37,174,326,2010
Cameron Tringale,55,53.23,140,263,2010
Greg Owen,69,52.73,203,385,2010
Ted Purdy,86,52.44,279,532,2010
David Duval,71,52.26,220,421,2010
Robert Garrigus,71,51.98,197,379,2010
Steve Wheatcroft,74,51.84,225,434,2010
Kevin Johnson,62,51.32,194,378,2010
Mark Calcavecchia,50,50.96,133,261,2010
Jerod Turner,54,50.88,173,340,2010
Vance Veazey,58,50.72,177,349,2010
Steve Lowery,67,50.38,197,391,2010
Jeff Gove,57,50.36,140,278,2010
Henrik Bjornstad,72,49.59,182,367,2010
Nicholas Thompson,88,49.38,240,486,2010
Brad Faxon,58,47.49,189,398,2010
