Player Name,Events,Points,# of Wins,# of Top 10,Year
Danny Lee,26,490,,1,2014
Brice Garnett,27,488,,1,2014
Paul Casey,15,471,,,2014
Gonzalo Fernandez-Castaño,23,470,,1,2014
Sangmoon Bae,23,466,,,2014
James Hahn,26,456,,2,2014
Bryce Molder,24,455,,2,2014
Louis Oosthuizen,15,453,,1,2014
Morgan Hoffmann,28,448,,,2014
Robert Allenby,28,438,,,2014
Nicholas Thompson,30,437,,1,2014
Martin Laird,20,425,,1,2014
J.J. Henry,28,425,,,2014
Heath Slocum,23,419,,1,2014
Charlie Beljan,26,409,,1,2014
Ben Curtis,24,406,,1,2014
Greg Chalmers,27,402,,1,2014
John Merrick,25,399,,,2014
David Lingmerth,26,391,,2,2014
Roberto Castro,27,387,,1,2014
Jonathan Byrd,24,383,,1,2014
Andrew Loupe,22,380,,1,2014
Richard Lee,27,376,,2,2014
Mike Weir,25,375,,1,2014
Brian Gay,26,375,,1,2014
Briny Baird,17,366,,1,2014
Willy Wilcox,16,362,,2,2014
Bud Cauley,19,357,,1,2014
Tyrone Van Aswegen,25,355,,,2014
Trevor Immelman,28,354,,1,2014
Hudson Swafford,26,351,,1,2014
Jim Renner,25,346,,1,2014
Josh Teater,28,334,,,2014
Charlie Wi,25,329,,,2014
Johnson Wagner,24,323,,1,2014
Brad Fritsch,18,322,,3,2014
Chad Campbell,18,317,,1,2014
Wes Roach,22,314,,1,2014
"Ted Potter, Jr.",24,311,,,2014
James Driscoll,25,311,,,2014
Tommy Gainey,26,311,,1,2014
Ken Duke,25,305,,,2014
Kyle Stanley,28,297,,1,2014
Chad Collins,28,295,,1,2014
Sean O'Hair,25,278,,1,2014
Peter Hanson,13,262,,,2014
Davis Love III,22,253,,,2014
Spencer Levin,20,246,,,2014
John Rollins,28,244,,,2014
Troy Matteson,23,238,,1,2014
Scott Piercy,12,238,,,2014
Y.E. Yang,28,234,,,2014
Woody Austin,22,225,,,2014
Steve Marino,13,224,,,2014
Joe Durant,15,221,,,2014
Derek Ernst,28,218,,,2014
Jamie Lovemark,20,212,,,2014
D.A. Points,27,206,,,2014
Jeff Maggert,19,195,,1,2014
Thorbjørn Olesen,14,182,,1,2014
Jason Gore,7,175,,1,2014
Kevin Tway,23,172,,,2014
Peter Malnati,18,172,,,2014
John Peterson,25,170,,,2014
Dicky Pride,13,159,,1,2014
Tim Herron,15,157,,,2014
Jim Herman,21,142,,,2014
Mark Wilson,25,142,,,2014
Eric Axley,10,141,,,2014
Lucas Glover,26,129,,,2014
Bronson La'Cassie,18,128,,,2014
Scott Gardiner,18,125,,,2014
Padraig Harrington,16,116,,,2014
Miguel Angel Carballo,15,116,,,2014
Stephen Ames,18,104,,,2014
David Lynn,11,104,,,2014
Tim Petrovic,10,96,,,2014
D.H. Lee,20,94,,,2014
Blake Adams,8,91,,,2014
Ryuji Imada,9,90,,,2014
Nicolas Colsaerts,12,88,,,2014
Kenny Perry,5,83,,,2014
Darren Clarke,15,83,,,2014
Bernhard Langer,1,80,,1,2014
Doug LaBelle II,12,79,,,2014
Kevin Foley,15,78,,,2014
David Duval,15,77,,,2014
Rod Pampling,7,74,,1,2014
Lee Williams,13,74,,,2014
Bob Estes,2,73,,1,2014
Alex Prugh,16,72,,,2014
Cameron Beckman,12,72,,,2014
Greg Owen,8,67,,,2014
John Daly,15,63,,,2014
José Coceres,6,59,,,2014
Matt Bettencourt,14,57,,,2014
Mark Anderson,8,55,,,2014
Will Claxton,8,52,,,2014
Tom Watson,5,51,,,2014
Fred Couples,3,49,,,2014
Mark Calcavecchia,8,49,,,2014
Patrick Cantlay,5,48,,,2014
Tiger Woods,7,45,,,2014
Tag Ridings,12,42,,,2014
Lee Janzen,8,41,,,2014
Joe Ogilvie,13,40,,,2014
Glen Day,5,40,,,2014
Steve Flesch,5,37,,,2014
Harrison Frazar,15,37,,,2014
Justin Bolli,6,37,,,2014
José María Olazábal,1,36,,,2014
Alex Cejka,6,34,,,2014
Dudley Hart,4,32,,,2014
Marc Turnesa,6,31,,,2014
Chris Smith,7,28,,,2014
Sandy Lyle,2,25,,,2014
Billy Mayfair,4,24,,,2014
Edward Loar,19,23,,,2014
Len Mattiace,4,21,,,2014
Kent Jones,2,20,,,2014
Larry Mize,1,20,,,2014
Kris Blanks,8,19,,,2014
D.J. Trahan,5,18,,,2014
Chez Reavie,2,18,,,2014
Benjamín Alvarado,6,15,,,2014
Nathan Green,4,14,,,2014
Ben Kohles,3,13,,,2014
Vaughn Taylor,3,12,,,2014
Paul Goydos,19,11,,,2014
Arjun Atwal,4,11,,,2014
Todd Hamilton,4,11,,,2014
Fabián Gómez,4,10,,,2014
Fred Funk,8,9,,,2014
Daniel Chopra,16,9,,,2014
Marco Dawson,1,4,,,2014
Jesper Parnevik,3,4,,,2014
Alex Aragon,18,2,,,2014
Scott McCarron,12,2,,,2014
Paul Stankowski,3,1,,,2014
Scott Verplank,12,1,,,2014
Chris DiMarco,7,1,,,2014
Brett Quigley,1,1,,,2014
Bobby Gates,14,1,,,2014
Tiger Woods,12,"3,059",5,7,2013
Matt Kuchar,19,"2,293",2,7,2013
Brandt Snedeker,19,"2,218",2,8,2013
Phil Mickelson,17,"2,166",2,6,2013
Bill Haas,21,"1,505",1,9,2013
Billy Horschel,22,"1,487",1,7,2013
Justin Rose,13,"1,447",1,5,2013
Jordan Spieth,19,"1,436",1,7,2013
Henrik Stenson,14,"1,426",,6,2013
Keegan Bradley,21,"1,416",,7,2013
Adam Scott,12,"1,347",1,5,2013
Boo Weekley,23,"1,335",1,4,2013
Kevin Streelman,21,"1,333",1,5,2013
Jason Day,17,"1,284",,6,2013
Jason Dufner,18,"1,256",1,3,2013
Dustin Johnson,18,"1,226",1,5,2013
Webb Simpson,21,"1,188",,4,2013
Zach Johnson,21,"1,141",,6,2013
Harris English,23,"1,134",1,4,2013
Steve Stricker,10,"1,117",,5,2013
Hunter Mahan,21,"1,101",,4,2013
Patrick Reed,23,"1,062",1,5,2013
Jim Furyk,18,"1,057",,5,2013
Russell Henley,21,"1,048",1,3,2013
D.A. Points,24,"1,038",1,2,2013
Jimmy Walker,21,996,,5,2013
Charles Howell III,23,996,,5,2013
Graeme McDowell,13,941,1,4,2013
Jonas Blixt,21,912,1,2,2013
John Merrick,20,909,1,2,2013
Chris Kirk,21,904,,3,2013
Ken Duke,25,902,1,2,2013
Charl Schwartzel,15,871,,4,2013
Graham DeLaet,22,856,,5,2013
Lee Westwood,16,856,,6,2013
Sangmoon Bae,23,838,1,2,2013
Matt Jones,21,836,,4,2013
Bubba Watson,18,830,,3,2013
Michael Thompson,19,828,1,3,2013
Ángel Cabrera,18,826,,2,2013
Roberto Castro,25,823,,2,2013
Rickie Fowler,19,822,,4,2013
Scott Stallings,24,816,,4,2013
Martin Laird,19,809,1,2,2013
David Lingmerth,21,806,,3,2013
Ryan Palmer,20,801,,4,2013
Chris Stroud,23,800,,4,2013
Charley Hoffman,20,793,,5,2013
Rory McIlroy,13,777,,5,2013
Scott Piercy,21,773,,4,2013
Brendon de Jonge,26,769,,3,2013
Brian Gay,21,744,1,1,2013
David Hearn,23,728,,2,2013
David Lynn,19,716,,2,2013
Luke Donald,13,707,,4,2013
Tim Clark,18,703,,3,2013
John Rollins,22,696,,2,2013
Kevin Chappell,21,689,,3,2013
Sergio Garcia,13,684,,4,2013
Gary Woodland,22,683,1,1,2013
Josh Teater,22,682,,3,2013
K.J. Choi,22,666,,2,2013
Nick Watney,22,663,,2,2013
Kyle Stanley,22,662,,3,2013
John Huh,25,661,,2,2013
Freddie Jacobson,17,659,,3,2013
Cameron Tringale,22,654,,1,2013
Ryan Moore,19,653,,3,2013
Marc Leishman,20,648,,4,2013
Ian Poulter,13,645,,3,2013
Brian Davis,25,622,,3,2013
Luke Guthrie,25,607,,2,2013
Robert Garrigus,20,601,,2,2013
Derek Ernst,19,598,1,1,2013
Daniel Summerhays,23,594,,4,2013
Scott Brown,19,588,1,1,2013
Nicholas Thompson,26,585,,2,2013
Brian Stuard,23,583,,4,2013
Jerry Kelly,20,580,,2,2013
Brian Harman,27,578,,2,2013
Brendan Steele,23,574,,2,2013
Ernie Els,16,571,,1,2013
Stewart Cink,20,568,,3,2013
Richard Lee,22,565,,2,2013
Rory Sabbatini,24,553,,5,2013
Martin Flores,23,552,,2,2013
Kevin Stadler,22,547,,2,2013
Matt Every,25,545,,3,2013
Pat Perez,20,544,,4,2013
Bo Van Pelt,20,542,,1,2013
Justin Leonard,22,536,,1,2013
William McGirt,22,533,,2,2013
James Driscoll,22,524,,2,2013
Bob Estes,16,523,,2,2013
Jason Kokrak,22,521,,3,2013
"Ted Potter, Jr.",21,518,,2,2013
J.J. Henry,25,516,,2,2013
Bryce Molder,21,504,,,2013
Geoff Ogilvy,18,492,,1,2013
Jeff Overton,23,484,,2,2013
James Hahn,25,480,,2,2013
Mark Wilson,18,476,,3,2013
Martin Kaymer,15,474,,3,2013
Charlie Beljan,23,459,,1,2013
John Senden,24,458,,,2013
Jason Bohn,22,454,,2,2013
Lucas Glover,22,454,,2,2013
Jeff Maggert,20,453,,2,2013
Justin Hicks,24,451,,1,2013
Camilo Villegas,21,450,,2,2013
Morgan Hoffmann,19,444,,3,2013
Chez Reavie,21,439,,,2013
Carl Pettersson,23,439,,1,2013
D.H. Lee,21,432,,3,2013
Andres Romero,20,430,,2,2013
Johnson Wagner,23,430,,2,2013
Erik Compton,22,422,,1,2013
Charlie Wi,22,401,,1,2013
Aaron Baddeley,23,401,,2,2013
Steven Bowditch,21,400,,1,2013
George McNeill,20,399,,,2013
Greg Chalmers,23,395,,2,2013
Stuart Appleby,23,395,,1,2013
Scott Langley,26,386,,1,2013
Ben Crane,20,369,,2,2013
Robert Streb,25,359,,,2013
Peter Hanson,15,356,,1,2013
Nicolas Colsaerts,17,353,,3,2013
Brad Fritsch,24,350,,1,2013
Padraig Harrington,17,345,,3,2013
Bud Cauley,24,343,,,2013
Ricky Barnes,26,342,,,2013
Fabián Gómez,23,339,,1,2013
Greg Owen,24,336,,,2013
Shawn Stefani,21,333,,2,2013
Chad Campbell,25,330,,1,2013
Woody Austin,8,326,1,1,2013
David Toms,16,326,,1,2013
Jim Herman,19,325,,2,2013
Tommy Gainey,28,324,,1,2013
Ryo Ishikawa,23,298,,1,2013
Tag Ridings,24,295,,1,2013
Trevor Immelman,24,295,,1,2013
Dicky Pride,23,293,,2,2013
Brendon Todd,10,293,,,2013
Vijay Singh,19,291,,,2013
Doug LaBelle II,23,290,,,2013
Ben Kohles,25,286,,1,2013
Brandt Jobe,19,283,,,2013
Justin Bolli,23,278,,2,2013
Steve LeBrun,21,270,,,2013
Tom Gillis,22,264,,,2013
Ben Curtis,20,251,,,2013
Louis Oosthuizen,12,249,,1,2013
Vaughn Taylor,16,246,,1,2013
Robert Karlsson,18,236,,1,2013
Jonathan Byrd,16,234,,2,2013
Cameron Percy,21,230,,,2013
Henrik Norlander,22,229,,,2013
Seung-Yul Noh,25,226,,1,2013
Ross Fisher,15,215,,1,2013
Davis Love III,15,209,,1,2013
Luke List,24,202,,,2013
Casey Wittenberg,27,199,,1,2013
David Mathis,24,197,,1,2013
Russell Knox,11,197,,,2013
Troy Matteson,24,194,,,2013
Tim Herron,15,190,,,2013
Will Claxton,24,186,,,2013
Sean O'Hair,22,183,,,2013
Retief Goosen,9,182,,1,2013
Y.E. Yang,19,182,,,2013
Stephen Ames,19,182,,,2013
Mike Weir,22,173,,,2013
D.J. Trahan,16,169,,1,2013
Nick O'Hern,10,169,,1,2013
Scott Gardiner,23,161,,,2013
Cameron Beckman,8,150,,1,2013
Bobby Gates,20,144,,1,2013
Alistair Presnell,23,140,,,2013
Fred Couples,4,138,,,2013
Lee Williams,22,134,,,2013
Bill Lunde,10,133,,1,2013
Colt Knost,25,130,,,2013
Robert Allenby,24,129,,1,2013
Kevin Sutherland,13,129,,,2013
Aaron Watkins,19,126,,1,2013
Darron Stiles,20,125,,,2013
Jin Park,20,125,,,2013
Chris DiMarco,11,118,,1,2013
Glen Day,6,113,,1,2013
John Mallinger,12,112,,,2013
Tim Petrovic,12,109,,1,2013
Rod Pampling,16,109,,,2013
Matt Bettencourt,9,102,,,2013
Heath Slocum,9,102,,,2013
Paul Casey,7,100,,,2013
Andres Gonzales,17,96,,1,2013
Nathan Green,9,92,,,2013
Kevin Na,8,92,,,2013
Steve Marino,12,91,,,2013
Andrew Svoboda,18,89,,,2013
Joey Snyder III,15,85,,,2013
Billy Mayfair,14,79,,1,2013
Paul Haley II,18,74,,,2013
Michael Bradley,21,74,,,2013
Eric Meierdierks,19,72,,,2013
Jeff Gove,17,69,,,2013
Billy Andrade,3,63,,1,2013
Steve Flesch,6,60,,,2013
Hank Kuehne,5,59,,,2013
Joe Ogilvie,15,58,,,2013
Kenny Perry,3,58,,,2013
Scott Verplank,14,57,,,2013
Joe Affrunti,5,56,,,2013
Gary Christian,10,52,,,2013
"Wes Short, Jr.",15,51,,,2013
Bernhard Langer,1,42,,,2013
Michael Letzig,17,41,,,2013
Joe Durant,7,40,,,2013
Duffy Waldorf,3,35,,,2013
Chris Riley,3,35,,,2013
Tom Watson,4,32,,,2013
Ryuji Imada,7,32,,,2013
Peter Lonard,1,28,,,2013
Paul Stankowski,1,28,,,2013
Bart Bryant,2,27,,,2013
Russ Cochran,1,27,,,2013
Dean Wilson,2,24,,,2013
David Frost,1,22,,,2013
Robert Gamez,3,21,,,2013
Jesper Parnevik,13,20,,,2013
José María Olazábal,2,20,,,2013
Skip Kendall,2,19,,,2013
John Daly,12,18,,,2013
J.B. Holmes,5,17,,,2013
Sandy Lyle,2,16,,,2013
Neal Lancaster,6,16,,,2013
Troy Kelly,10,15,,,2013
Andre Stolz,1,13,,,2013
Marc Turnesa,2,13,,,2013
Tom Lehman,2,11,,,2013
Mark O'Meara,3,11,,,2013
Alexandre Rocha,3,10,,,2013
Marco Dawson,1,8,,,2013
Kent Jones,1,8,,,2013
Lee Janzen,11,8,,,2013
David Duval,8,5,,,2013
Arjun Atwal,8,4,,,2013
Scott McCarron,8,2,,,2013
Frank Lickliter II,3,1,,,2013
Ted Purdy,3,1,,,2013
Todd Hamilton,4,1,,,2013
Tiger Woods,15,"2,269",3,6,2012
Jason Dufner,19,"2,110",2,8,2012
Rory McIlroy,12,"2,092",2,7,2012
Zach Johnson,20,"2,019",2,6,2012
Bubba Watson,15,"1,777",1,5,2012
Hunter Mahan,19,"1,739",2,4,2012
Carl Pettersson,22,"1,691",1,6,2012
Keegan Bradley,21,"1,670",1,5,2012
Matt Kuchar,18,"1,600",1,8,2012
Steve Stricker,15,"1,456",1,7,2012
Ernie Els,17,"1,447",1,5,2012
Justin Rose,15,"1,426",1,7,2012
Webb Simpson,18,"1,424",1,6,2012
Phil Mickelson,18,"1,373",1,5,2012
Scott Piercy,23,"1,304",1,3,2012
Luke Donald,13,"1,294",1,6,2012
Jim Furyk,19,"1,284",,5,2012
Rickie Fowler,19,"1,246",1,5,2012
Brandt Snedeker,18,"1,194",1,4,2012
Johnson Wagner,23,"1,181",1,4,2012
Bill Haas,20,"1,181",1,3,2012
Kyle Stanley,24,"1,177",1,2,2012
Bo Van Pelt,20,"1,175",,8,2012
Robert Garrigus,20,"1,155",,5,2012
John Huh,23,"1,123",1,4,2012
Dustin Johnson,15,"1,097",1,5,2012
Graeme McDowell,13,"1,037",,4,2012
Marc Leishman,20,"1,003",1,2,2012
Ben Curtis,13,997,1,3,2012
Mark Wilson,21,986,1,2,2012
Martin Laird,19,976,,3,2012
Adam Scott,12,966,,3,2012
Sergio Garcia,13,935,1,2,2012
Louis Oosthuizen,15,928,,3,2012
Bud Cauley,23,902,,5,2012
Charlie Wi,21,901,,3,2012
John Senden,18,867,,5,2012
Kevin Na,21,866,,6,2012
Ben Crane,19,849,,4,2012
Seung-Yul Noh,25,827,,3,2012
Brendon de Jonge,25,815,,2,2012
Ken Duke,25,776,,6,2012
Jimmy Walker,23,763,,4,2012
Ryan Palmer,19,745,,4,2012
Spencer Levin,25,735,,3,2012
John Rollins,21,732,,5,2012
Jonathan Byrd,19,732,,5,2012
Brian Davis,23,728,,4,2012
Nick Watney,21,726,,3,2012
D.A. Points,22,714,,3,2012
Lee Westwood,11,713,,5,2012
J.J. Henry,26,713,1,3,2012
Matt Every,19,711,,5,2012
Tim Clark,16,707,,2,2012
Ian Poulter,12,698,,4,2012
Cameron Tringale,21,689,,4,2012
Vijay Singh,21,669,,3,2012
Jeff Overton,23,667,,2,2012
Charles Howell III,23,666,,1,2012
Troy Matteson,26,662,,3,2012
"Ted Potter, Jr.",21,647,1,1,2012
Padraig Harrington,15,646,,3,2012
Sean O'Hair,19,644,,2,2012
Ryan Moore,19,635,,4,2012
Aaron Baddeley,19,635,,3,2012
Michael Thompson,21,634,,2,2012
Charley Hoffman,23,628,,2,2012
Geoff Ogilvy,17,624,,1,2012
David Toms,17,623,,4,2012
Kevin Stadler,21,620,,3,2012
Sangmoon Bae,23,604,,2,2012
Pat Perez,20,603,,1,2012
Rory Sabbatini,23,602,,2,2012
William McGirt,25,602,,2,2012
Blake Adams,27,599,,2,2012
George McNeill,21,599,1,1,2012
K.J. Choi,19,597,,2,2012
Greg Chalmers,22,589,,,2012
Dicky Pride,14,586,,3,2012
Chris Kirk,21,574,,4,2012
John Merrick,22,572,,2,2012
J.B. Holmes,20,568,,2,2012
Daniel Summerhays,20,567,,4,2012
Greg Owen,21,556,,2,2012
Martin Flores,24,556,,2,2012
Scott Stallings,22,554,1,2,2012
Harris English,22,549,,3,2012
John Mallinger,21,543,,2,2012
Will Claxton,23,530,,2,2012
Charl Schwartzel,13,519,,2,2012
Chad Campbell,22,517,,2,2012
Tom Gillis,19,511,,1,2012
Andres Romero,19,506,,2,2012
Josh Teater,25,506,,3,2012
Freddie Jacobson,15,500,,1,2012
Bryce Molder,20,495,,1,2012
Brian Harman,24,493,,,2012
Ricky Barnes,23,489,,1,2012
Chris Stroud,23,484,,2,2012
Roberto Castro,21,477,,1,2012
Jonas Blixt,15,470,,3,2012
Tommy Gainey,27,464,,1,2012
Bob Estes,19,458,,1,2012
Kevin Chappell,24,447,,1,2012
Davis Love III,15,443,,2,2012
Graham DeLaet,20,441,,2,2012
Jeff Maggert,22,433,,1,2012
David Hearn,22,432,,1,2012
Kevin Streelman,22,424,,3,2012
Brian Gay,23,424,,2,2012
Gary Christian,23,422,,1,2012
Robert Allenby,22,417,,2,2012
Jason Day,13,417,,3,2012
Trevor Immelman,20,411,,,2012
James Driscoll,22,408,,2,2012
Rod Pampling,21,398,,1,2012
Henrik Stenson,12,394,,1,2012
Troy Kelly,19,394,,1,2012
Billy Mayfair,23,393,,1,2012
Colt Knost,24,390,,2,2012
Harrison Frazar,19,387,,2,2012
Jerry Kelly,21,385,,,2012
Boo Weekley,20,365,,2,2012
Heath Slocum,24,365,,,2012
Jason Bohn,23,363,,2,2012
Jhonattan Vegas,22,361,,2,2012
Y.E. Yang,20,351,,,2012
Tim Herron,23,339,,,2012
Bobby Gates,25,338,,1,2012
Brendan Steele,20,334,,3,2012
Retief Goosen,12,330,,2,2012
Chez Reavie,23,327,,,2012
David Mathis,25,322,,1,2012
Gary Woodland,19,321,,,2012
Chris DiMarco,25,316,,1,2012
Vaughn Taylor,22,312,,,2012
Erik Compton,22,311,,,2012
Kyle Reifers,23,311,,,2012
Stewart Cink,19,310,,,2012
John Daly,12,298,,1,2012
Kris Blanks,23,297,,,2012
Bill Lunde,21,294,,,2012
Billy Horschel,14,289,,1,2012
Stuart Appleby,20,287,,,2012
J.J. Killeen,29,286,,1,2012
Brendon Todd,25,281,,1,2012
Justin Leonard,22,277,,2,2012
Camilo Villegas,21,267,,,2012
Richard Lee,20,262,,,2012
Billy Hurley III,23,256,,2,2012
Hunter Haas,24,251,,1,2012
Nick O'Hern,22,250,,1,2012
Kevin Kisner,20,248,,1,2012
Nathan Green,18,245,,1,2012
Brandt Jobe,18,245,,1,2012
D.J. Trahan,23,243,,1,2012
Chris Couch,21,242,,,2012
Robert Karlsson,13,239,,,2012
Danny Lee,22,226,,,2012
Charlie Beljan,18,222,,1,2012
Lee Janzen,11,219,,1,2012
Miguel Angel Carballo,21,213,,,2012
Scott Brown,20,212,,3,2012
Mark Anderson,21,209,,,2012
Joe Durant,11,205,,1,2012
Jarrod Lyle,7,199,,1,2012
Rocco Mediate,19,195,,,2012
Roland Thatcher,17,188,,1,2012
Gavin Coles,19,184,,,2012
Alexandre Rocha,17,183,,1,2012
Arjun Atwal,23,181,,,2012
Ángel Cabrera,17,177,,,2012
Matt Bettencourt,27,177,,1,2012
Garth Mulroy,17,173,,,2012
Michael Bradley,20,173,,,2012
Duffy Waldorf,10,168,,,2012
Alex Cejka,9,166,,,2012
Jason Kokrak,23,165,,1,2012
Russell Knox,19,164,,,2012
Derek Lamely,21,160,,,2012
Cameron Beckman,22,154,,,2012
Sung Kang,27,146,,,2012
Chris Riley,10,144,,,2012
