Player Name,Rounds,Average SG Putts,Total SG:Putts,Measured Rounds,Year
Greg Chalmers,56,.790,32.387,41,2018
Jason Day,75,.770,37.720,49,2018
Alex Noren,67,.758,37.154,49,2018
Daniel Summerhays,51,.736,27.965,38,2018
Webb Simpson,95,.692,56.017,81,2018
Beau Hossler,104,.685,61.617,90,2018
Johnson Wagner,75,.623,34.291,55,2018
Peter Malnati,87,.619,46.409,75,2018
Patrick Rodgers,97,.561,40.931,73,2018
Emiliano Grillo,94,.546,39.840,73,2018
Kevin Na,91,.533,37.303,70,2018
Kevin Kisner,89,.513,33.364,65,2018
Phil Mickelson,90,.510,35.710,70,2018
Seamus Power,86,.498,32.851,66,2018
Michael Thompson,62,.498,27.889,56,2018
Graeme McDowell,67,.478,21.967,46,2018
Brandt Snedeker,84,.478,35.378,74,2018
Denny McCarthy,71,.449,22.017,49,2018
Brian Gay,103,.442,40.668,92,2018
Whee Kim,93,.427,31.181,73,2018
Justin Rose,70,.424,22.479,53,2018
Brett Stegmaier,67,.401,18.835,47,2018
Billy Horschel,86,.392,30.164,77,2018
Jim Furyk,50,.389,17.903,46,2018
Dustin Johnson,77,.385,23.861,62,2018
Bud Cauley,55,.367,15.055,41,2018
Derek Fathauer,84,.363,24.669,68,2018
Wesley Bryan,69,.360,18.354,51,2018
Nicholas Lindheim,77,.355,20.929,59,2018
Branden Grace,67,.350,15.389,44,2018
Matt Kuchar,88,.348,22.592,65,2018
Bryson DeChambeau,93,.346,26.982,78,2018
Hunter Mahan,67,.346,17.640,51,2018
Ricky Barnes,65,.338,15.200,45,2018
Tyrrell Hatton,58,.335,14.077,42,2018
Ben Crane,65,.332,15.285,46,2018
Ollie Schniederjans,91,.325,25.042,77,2018
Tommy Fleetwood,73,.324,17.509,54,2018
Jimmy Walker,81,.324,21.369,66,2018
Daniel Berger,81,.319,19.780,62,2018
Austin Cook,107,.315,28.962,92,2018
Dominic Bozzelli,65,.308,18.799,61,2018
Rickie Fowler,74,.296,18.028,61,2018
Martin Laird,73,.282,17.178,61,2018
Rafa Cabrera Bello,75,.273,13.101,48,2018
Brian Harman,94,.273,19.683,72,2018
Justin Thomas,91,.272,18.528,68,2018
Tiger Woods,68,.266,15.703,59,2018
Michael Kim,74,.259,14.004,54,2018
Jonas Blixt,67,.244,11.722,48,2018
Ben Silverman,90,.238,18.084,76,2018
Aaron Wise,90,.238,19.071,80,2018
Tony Finau,105,.232,18.774,81,2018
David Lingmerth,82,.229,15.774,69,2018
Brandon Harkins,101,.225,19.146,85,2018
Ian Poulter,73,.223,11.143,50,2018
Harris English,84,.222,15.063,68,2018
Charles Howell III,104,.219,17.091,78,2018
Chesson Hadley,103,.208,18.554,89,2018
Zach Johnson,94,.206,14.835,72,2018
Zac Blair,64,.203,9.346,46,2018
Cody Gribble,71,.201,10.838,54,2018
William McGirt,84,.200,14.969,75,2018
Nick Watney,94,.200,15.999,80,2018
Anirban Lahiri,82,.199,13.321,67,2018
Xander Schauffele,96,.196,14.078,72,2018
Chez Reavie,93,.192,11.495,60,2018
Roberto Díaz,72,.168,9.410,56,2018
Brooks Koepka,64,.168,9.057,54,2018
Russell Henley,77,.167,9.703,58,2018
John Huh,94,.167,13.730,82,2018
Patrick Reed,94,.164,10.316,63,2018
Brian Stuard,103,.164,14.398,88,2018
Danny Lee,88,.156,10.927,70,2018
Kiradech Aphibarnrat,51,.138,4.699,34,2018
J.T. Poston,73,.135,7.711,57,2018
Paul Casey,74,.133,6.537,49,2018
Hideki Matsuyama,75,.132,7.507,57,2018
Adam Schenk,86,.130,8.564,66,2018
Marc Leishman,93,.126,9.234,73,2018
Martin Piller,79,.119,7.942,67,2018
Ben Martin,64,.118,6.721,57,2018
Pat Perez,82,.115,5.873,51,2018
Jonathan Randolph,71,.115,6.912,60,2018
Cameron Smith,85,.115,6.990,61,2018
D.A. Points,63,.110,5.274,48,2018
Bronson Burgoon,69,.107,6.123,57,2018
Adam Hadwin,92,.106,7.013,66,2018
Sam Saunders,80,.094,6.304,67,2018
Nate Lashley,51,.082,2.853,35,2018
Charl Schwartzel,65,.081,3.381,42,2018
Troy Merritt,89,.077,5.594,73,2018
Kelly Kraft,94,.075,5.534,74,2018
"Ted Potter, Jr.",87,.074,5.735,77,2018
Chris Kirk,108,.073,6.996,96,2018
Trey Mullinax,75,.072,4.242,59,2018
Rory McIlroy,64,.060,3.073,51,2018
Rory Sabbatini,91,.059,4.449,75,2018
Chris Stroud,81,.053,3.098,58,2018
Andrew Putnam,97,.052,4.008,77,2018
Kevin Tway,110,.052,4.721,90,2018
Scott Brown,102,.049,3.967,81,2018
Rob Oppenheim,74,.045,2.413,54,2018
Kyle Stanley,93,.037,2.504,67,2018
Talor Gooch,78,.031,1.902,62,2018
Patton Kizzire,92,.030,2.321,78,2018
Charley Hoffman,87,.026,1.788,68,2018
Ryan Blaum,81,.025,1.790,72,2018
Billy Hurley III,70,.025,1.419,57,2018
Jason Kokrak,99,.022,1.930,88,2018
Peter Uihlein,83,.021,1.352,65,2018
Jamie Lovemark,92,.010,.810,78,2018
Alex Cejka,77,.009,.556,60,2018
Gary Woodland,96,.007,.482,70,2018
Fabián Gómez,88,.001,.061,71,2018
Bubba Watson,90,.001,.062,68,2018
Andrew Landry,82,-.010,-.751,73,2018
Tyrone Van Aswegen,101,-.010,-.821,83,2018
Blayne Barber,69,-.022,-1.323,60,2018
Harold Varner III,91,-.024,-1.769,74,2018
Louis Oosthuizen,62,-.026,-1.213,46,2018
Ethan Tracy,72,-.026,-1.402,54,2018
Matt Jones,70,-.034,-1.615,47,2018
Jordan Spieth,81,-.034,-2.224,66,2018
Shawn Stefani,76,-.034,-2.045,60,2018
Tom Lovelady,87,-.049,-3.410,69,2018
Abraham Ancer,98,-.056,-4.648,83,2018
Aaron Baddeley,84,-.057,-3.973,70,2018
Ryan Armour,109,-.058,-5.545,96,2018
Jason Dufner,71,-.058,-3.002,52,2018
Bill Haas,76,-.059,-3.922,66,2018
Jhonattan Vegas,92,-.059,-3.778,64,2018
C.T. Pan,104,-.067,-5.470,82,2018
Scott Stallings,96,-.070,-5.617,80,2018
Brice Garnett,99,-.076,-6.169,81,2018
Vaughn Taylor,83,-.080,-5.579,70,2018
Robert Streb,78,-.081,-4.830,60,2018
Russell Knox,94,-.088,-6.538,74,2018
Lanto Griffin,80,-.096,-5.733,60,2018
Cameron Tringale,67,-.104,-5.286,51,2018
Jonathan Byrd,70,-.106,-5.087,48,2018
Richy Werenski,98,-.109,-8.086,74,2018
David Hearn,66,-.127,-6.328,50,2018
Steve Wheatcroft,60,-.128,-5.886,46,2018
Stephan Jaeger,81,-.144,-9.089,63,2018
J.J. Spaun,85,-.149,-10.580,71,2018
Jon Rahm,71,-.151,-7.685,51,2018
James Hahn,85,-.152,-10.517,69,2018
Tom Hoge,101,-.162,-13.429,83,2018
Conrad Shindler,60,-.166,-7.324,44,2018
Si Woo Kim,108,-.168,-13.138,78,2018
Mackenzie Hughes,80,-.177,-12.010,68,2018
Patrick Cantlay,87,-.182,-12.177,67,2018
Lucas Glover,65,-.186,-8.573,46,2018
Matt Atkins,56,-.198,-7.906,40,2018
Cameron Percy,56,-.205,-8.386,41,2018
J.B. Holmes,77,-.207,-14.109,68,2018
Sean O'Hair,67,-.207,-11.801,57,2018
Henrik Stenson,60,-.207,-9.091,44,2018
Sung Kang,89,-.235,-15.725,67,2018
Kevin Streelman,94,-.250,-20.472,82,2018
Hudson Swafford,73,-.260,-13.534,52,2018
Ryan Moore,78,-.271,-17.863,66,2018
Joel Dahmen,93,-.277,-19.670,71,2018
Byeong Hun An,86,-.285,-20.820,73,2018
Adam Scott,78,-.285,-17.091,60,2018
Shane Lowry,64,-.286,-14.581,51,2018
Martin Flores,92,-.289,-20.821,72,2018
Nick Taylor,94,-.312,-23.071,74,2018
Kevin Chappell,77,-.344,-21.350,62,2018
Stewart Cink,87,-.345,-23.115,67,2018
Sam Ryder,82,-.349,-24.435,70,2018
Grayson Murray,72,-.350,-20.673,59,2018
Keegan Bradley,98,-.358,-28.639,80,2018
Matt Every,79,-.364,-22.202,61,2018
Corey Conners,97,-.385,-30.425,79,2018
Retief Goosen,60,-.411,-16.459,40,2018
Rod Pampling,62,-.421,-18.964,45,2018
Xinjun Zhang,81,-.437,-24.884,57,2018
Chad Campbell,87,-.454,-30.441,67,2018
Luke List,98,-.467,-36.445,78,2018
Francesco Molinari,73,-.487,-27.740,57,2018
Keith Mitchell,99,-.504,-41.840,83,2018
Ryan Palmer,69,-.528,-31.665,60,2018
Tyler Duncan,97,-.566,-45.865,81,2018
Robert Garrigus,80,-.569,-38.672,68,2018
J.J. Henry,81,-.569,-35.859,63,2018
Scott Piercy,84,-.569,-38.686,68,2018
Brendan Steele,74,-.576,-31.096,54,2018
Andrew Yun,51,-.600,-20.385,34,2018
Satoshi Kodaira,51,-.645,-25.794,40,2018
Zecheng Dou,53,-.667,-24.010,36,2018
Kyle Thompson,50,-.750,-27.017,36,2018
Rickie Fowler,78,.852,53.705,63,2017
Michael Thompson,60,.840,36.940,44,2017
Luke Donald,50,.704,30.285,43,2017
Brian Harman,104,.600,51.596,86,2017
Brooks Koepka,88,.581,38.933,67,2017
Patrick Reed,107,.577,48.482,84,2017
Brandt Snedeker,53,.572,24.043,42,2017
Graeme McDowell,56,.563,28.174,50,2017
Jonas Blixt,74,.536,31.627,59,2017
Louis Oosthuizen,69,.530,27.008,51,2017
Mackenzie Hughes,106,.492,47.265,96,2017
Gonzalo Fernandez-Castaño,63,.489,21.522,44,2017
David Lingmerth,79,.484,33.406,69,2017
Shane Lowry,52,.479,18.183,38,2017
Steve Wheatcroft,51,.479,19.148,40,2017
Rafa Cabrera Bello,63,.473,21.756,46,2017
Søren Kjeldsen,58,.473,16.081,34,2017
Cody Gribble,79,.461,32.251,70,2017
Ernie Els,52,.458,16.959,37,2017
Brian Gay,82,.451,31.106,69,2017
Peter Malnati,91,.451,32.905,73,2017
Whee Kim,74,.443,27.484,62,2017
Russell Henley,99,.434,37.282,86,2017
Zach Johnson,81,.417,28.326,68,2017
Chez Reavie,98,.417,34.584,83,2017
Adam Hadwin,98,.409,32.297,79,2017
Blayne Barber,77,.402,26.929,67,2017
Xander Schauffele,96,.402,29.754,74,2017
Camilo Villegas,76,.400,24.802,62,2017
Kevin Kisner,105,.388,29.846,77,2017
Brian Campbell,55,.385,15.773,41,2017
Bryce Molder,74,.383,24.539,64,2017
Harris English,84,.374,26.956,72,2017
Billy Hurley III,80,.374,25.771,69,2017
Sebastián Muñoz,51,.358,13.952,39,2017
Marc Leishman,94,.356,25.972,73,2017
Jason Day,71,.354,19.497,55,2017
Pat Perez,93,.346,25.281,73,2017
Wesley Bryan,95,.340,26.142,77,2017
Phil Mickelson,85,.337,23.222,69,2017
Nicholas Lindheim,58,.336,14.796,44,2017
Ryan Blaum,100,.334,27.369,82,2017
Matt Kuchar,95,.332,25.595,77,2017
Justin Thomas,86,.332,21.583,65,2017
Greg Chalmers,75,.316,21.515,68,2017
Graham DeLaet,82,.291,20.639,71,2017
Stewart Cink,93,.286,23.170,81,2017
Jordan Spieth,85,.278,18.896,68,2017
Scott Brown,95,.276,21.562,78,2017
Hunter Mahan,73,.268,15.830,59,2017
Kevin Na,86,.265,17.507,66,2017
Kevin Tway,96,.261,19.311,74,2017
Ricky Barnes,100,.260,19.991,77,2017
Charl Schwartzel,63,.257,12.345,48,2017
Jon Rahm,90,.256,16.906,66,2017
Martin Laird,83,.253,18.194,72,2017
Danny Lee,93,.247,18.754,76,2017
Seung-Yul Noh,91,.244,18.292,75,2017
Martin Flores,88,.242,16.203,67,2017
Michael Kim,94,.229,19.248,84,2017
Tag Ridings,67,.203,10.128,50,2017
Jim Furyk,54,.187,8.211,44,2017
K.J. Choi,72,.176,9.494,54,2017
Seamus Power,86,.174,11.845,68,2017
Charles Howell III,86,.172,11.728,68,2017
Carl Pettersson,63,.172,8.957,52,2017
Matt Jones,64,.170,8.670,51,2017
Patrick Cantlay,52,.159,7.300,46,2017
Sung Kang,104,.154,12.609,82,2017
Daniel Berger,91,.149,10.262,69,2017
Vaughn Taylor,90,.139,10.553,76,2017
Sam Saunders,76,.138,8.434,61,2017
Jimmy Walker,68,.135,6.747,50,2017
Paul Casey,94,.133,9.408,71,2017
Cameron Tringale,89,.125,8.101,65,2017
John Huh,92,.124,9.452,76,2017
Johnson Wagner,71,.120,6.821,57,2017
Daniel Summerhays,100,.110,9.021,82,2017
Brandon Hagy,85,.109,7.504,69,2017
Sean O'Hair,84,.107,7.508,70,2017
Derek Fathauer,81,.094,5.990,64,2017
Billy Horschel,88,.084,6.719,80,2017
Cameron Smith,86,.084,5.978,71,2017
Chad Collins,66,.079,4.292,54,2017
Julián Etulain,68,.078,3.994,51,2017
Morgan Hoffmann,92,.078,6.427,82,2017
Bill Haas,92,.055,3.956,72,2017
Webb Simpson,102,.049,4.124,84,2017
Aaron Baddeley,61,.044,2.004,46,2017
Geoff Ogilvy,80,.043,2.889,67,2017
James Hahn,96,.036,2.947,81,2017
Zac Blair,105,.035,2.795,81,2017
Spencer Levin,89,.030,1.980,67,2017
Ian Poulter,72,.025,1.358,55,2017
Andres Gonzales,73,.023,1.324,57,2017
Tom Hoge,54,.019,.734,39,2017
Dustin Johnson,77,.019,1.125,59,2017
Tim Wilkinson,64,.009,.416,46,2017
Robert Streb,98,.003,.222,84,2017
Richy Werenski,81,.000,.022,61,2017
Jason Dufner,89,-.001,-.055,72,2017
Hudson Swafford,94,-.005,-.351,76,2017
Fabián Gómez,61,-.006,-.281,51,2017
Charley Hoffman,112,-.012,-1.072,93,2017
C.T. Pan,88,-.013,-1.022,76,2017
Brendan Steele,89,-.013,-.920,71,2017
Mark Anderson,54,-.016,-.665,42,2017
Jamie Lovemark,98,-.017,-1.339,80,2017
Troy Merritt,82,-.017,-1.156,70,2017
Ryan Moore,82,-.017,-1.135,65,2017
Ollie Schniederjans,92,-.019,-1.526,81,2017
William McGirt,89,-.025,-1.803,72,2017
Lucas Glover,93,-.026,-2.239,86,2017
J.J. Spaun,92,-.027,-1.963,72,2017
Ryan Armour,63,-.029,-1.420,49,2017
J.B. Holmes,83,-.032,-1.978,61,2017
Dominic Bozzelli,69,-.033,-1.803,55,2017
Ben Martin,86,-.044,-3.114,70,2017
David Hearn,93,-.052,-3.704,71,2017
Trey Mullinax,88,-.057,-3.986,70,2017
Shawn Stefani,72,-.057,-3.427,60,2017
Justin Rose,66,-.063,-3.339,53,2017
Patrick Rodgers,76,-.066,-4.378,66,2017
Chris Kirk,89,-.074,-5.152,70,2017
Jonathan Randolph,68,-.076,-3.868,51,2017
Grayson Murray,94,-.082,-6.930,85,2017
Francesco Molinari,75,-.089,-5.244,59,2017
Adam Scott,58,-.097,-4.060,42,2017
Patton Kizzire,84,-.103,-7.426,72,2017
Nick Watney,75,-.113,-7.248,64,2017
J.T. Poston,95,-.117,-8.505,73,2017
Chris Stroud,67,-.126,-6.046,48,2017
Jim Herman,77,-.127,-8.381,66,2017
Jason Bohn,75,-.133,-8.252,62,2017
Tony Finau,106,-.133,-12.113,91,2017
Smylie Kaufman,76,-.137,-8.611,63,2017
Brian Stuard,93,-.137,-9.421,69,2017
Ryan Brehm,83,-.149,-9.710,65,2017
Steven Bowditch,59,-.150,-6.745,45,2017
Ben Crane,86,-.155,-10.665,69,2017
Kelly Kraft,75,-.157,-10.200,65,2017
Emiliano Grillo,90,-.173,-11.407,66,2017
Bubba Watson,71,-.187,-9.910,53,2017
Nick Taylor,97,-.191,-15.842,83,2017
Bryson DeChambeau,91,-.193,-14.116,73,2017
Mark Hubbard,81,-.200,-12.184,61,2017
Ryo Ishikawa,56,-.204,-8.769,43,2017
Cameron Percy,71,-.205,-11.280,55,2017
Keegan Bradley,104,-.216,-19.669,91,2017
Andrew Loupe,55,-.242,-11.367,47,2017
Branden Grace,70,-.248,-11.638,47,2017
Rick Lamb,54,-.254,-9.640,38,2017
Matt Every,76,-.272,-16.609,61,2017
Bud Cauley,92,-.273,-22.350,82,2017
Kyle Reifers,96,-.276,-20.397,74,2017
Kevin Streelman,90,-.281,-21.945,78,2017
Chad Campbell,97,-.286,-24.297,85,2017
Kevin Chappell,95,-.303,-21.814,72,2017
Rory McIlroy,51,-.304,-10.947,36,2017
Steven Alker,69,-.309,-15.756,51,2017
Kyle Stanley,104,-.309,-28.999,94,2017
Sergio Garcia,65,-.311,-14.299,46,2017
Miguel Angel Carballo,63,-.320,-13.749,43,2017
Scott Stallings,81,-.320,-21.749,68,2017
Tyrone Van Aswegen,105,-.320,-25.571,80,2017
Anirban Lahiri,72,-.336,-19.797,59,2017
Hideki Matsuyama,83,-.345,-20.381,59,2017
Russell Knox,75,-.349,-18.819,54,2017
Rory Sabbatini,71,-.357,-18.911,53,2017
Alex Cejka,85,-.359,-22.281,62,2017
Byeong Hun An,77,-.375,-21.401,57,2017
Gary Woodland,94,-.381,-25.913,68,2017
Si Woo Kim,80,-.392,-23.525,60,2017
Harold Varner III,101,-.402,-34.559,86,2017
Jason Kokrak,95,-.405,-33.637,83,2017
Jhonattan Vegas,95,-.413,-29.289,71,2017
Retief Goosen,52,-.425,-17.412,41,2017
Luke List,102,-.426,-36.663,86,2017
J.J. Henry,92,-.430,-32.264,75,2017
Roberto Castro,70,-.447,-24.151,54,2017
Ken Duke,77,-.452,-27.136,60,2017
Robert Garrigus,78,-.456,-27.370,60,2017
Brett Drewitt,57,-.457,-19.660,43,2017
D.A. Points,68,-.478,-27.700,58,2017
Brett Stegmaier,78,-.514,-29.838,58,2017
Rod Pampling,71,-.518,-34.213,66,2017
Scott Piercy,70,-.526,-25.762,49,2017
Brad Fritsch,56,-.596,-25.049,42,2017
Boo Weekley,75,-.954,-58.165,61,2017
Ryan Palmer,61,-1.159,-56.812,49,2017
Jason Day,76,1.130,61.042,54,2016
Jordan Spieth,80,.758,43.954,58,2016
Kevin Kisner,97,.667,48.670,73,2016
Andrew Landry,53,.654,21.590,33,2016
Steve Stricker,53,.620,27.895,45,2016
Harris English,97,.592,42.599,72,2016
Daniel Summerhays,99,.592,46.746,79,2016
Aaron Baddeley,93,.581,43.002,74,2016
Phil Mickelson,75,.565,33.335,59,2016
Martin Piller,59,.562,25.861,46,2016
Bryce Molder,80,.553,37.063,67,2016
Adam Hadwin,93,.529,46.041,87,2016
Jonas Blixt,79,.520,34.859,67,2016
Peter Malnati,85,.491,36.351,74,2016
Brian Harman,104,.485,44.148,91,2016
Freddie Jacobson,86,.478,33.964,71,2016
Retief Goosen,55,.462,22.157,48,2016
Brendon Todd,66,.462,24.939,54,2016
Patton Kizzire,93,.460,34.033,74,2016
Brooks Koepka,75,.445,26.681,60,2016
Billy Hurley III,66,.433,25.520,59,2016
Jon Curran,99,.407,34.204,84,2016
Ernie Els,66,.405,22.658,56,2016
Luke Guthrie,57,.404,18.168,45,2016
Zach Johnson,90,.395,28.815,73,2016
Ricky Barnes,97,.386,30.841,80,2016
Colt Knost,90,.384,26.876,70,2016
Matt Kuchar,100,.381,29.356,77,2016
William McGirt,98,.360,31.666,88,2016
Derek Fathauer,94,.353,26.493,75,2016
K.J. Choi,73,.352,23.263,66,2016
Ryan Moore,86,.351,22.831,65,2016
Brandt Snedeker,93,.343,25.351,74,2016
Tim Wilkinson,72,.336,16.789,50,2016
John Senden,88,.329,25.684,78,2016
Dustin Johnson,87,.328,20.361,62,2016
Andrew Loupe,75,.301,19.856,66,2016
Wes Roach,59,.299,12.877,43,2016
Hunter Mahan,61,.291,14.236,49,2016
Patrick Reed,105,.280,21.805,78,2016
Michael Kim,100,.277,23.564,85,2016
Johnson Wagner,86,.273,20.742,76,2016
Mark Hubbard,101,.272,22.560,83,2016
Marc Leishman,89,.252,16.349,65,2016
Troy Merritt,77,.244,15.827,65,2016
Jimmy Walker,85,.243,16.994,70,2016
Ben Crane,80,.216,14.046,65,2016
David Hearn,95,.214,17.577,82,2016
Fabián Gómez,82,.213,15.530,73,2016
Morgan Hoffmann,71,.208,12.290,59,2016
Sean O'Hair,89,.208,17.488,84,2016
Hudson Swafford,104,.203,18.438,91,2016
Camilo Villegas,83,.203,14.392,71,2016
Stuart Appleby,71,.202,13.303,66,2016
Zac Blair,99,.195,15.820,81,2016
Russell Henley,76,.193,13.341,69,2016
Sung Kang,89,.186,13.605,73,2016
Kelly Kraft,63,.185,8.118,44,2016
Seung-Yul Noh,85,.176,12.116,69,2016
Daniel Berger,92,.175,12.627,72,2016
Martin Laird,82,.157,10.978,70,2016
Brendon de Jonge,83,.156,10.140,65,2016
Hiroshi Iwata,85,.154,10.162,66,2016
Rickie Fowler,80,.153,9.807,64,2016
Steve Wheatcroft,85,.153,10.738,70,2016
Chris Stroud,82,.150,10.379,69,2016
Luke Donald,81,.148,8.760,59,2016
Dicky Pride,55,.144,5.900,41,2016
Jamie Lovemark,91,.142,11.610,82,2016
Ben Martin,92,.140,11.201,80,2016
Smylie Kaufman,91,.134,9.497,71,2016
Charles Howell III,91,.133,10.378,78,2016
David Toms,62,.132,7.145,54,2016
Steven Bowditch,71,.131,7.212,55,2016
Paul Casey,77,.112,6.384,57,2016
Kyle Reifers,115,.102,9.746,96,2016
Jhonattan Vegas,97,.098,7.873,80,2016
Billy Horschel,73,.076,4.273,56,2016
Kevin Na,96,.074,5.139,69,2016
Jim Furyk,52,.067,2.964,44,2016
Shane Lowry,57,.060,2.165,36,2016
Sam Saunders,69,.060,3.081,51,2016
Cameron Tringale,81,.057,4.002,70,2016
David Lingmerth,84,.055,3.288,60,2016
Scott Langley,65,.045,2.409,53,2016
Steve Marino,72,.045,2.479,55,2016
D.H. Lee,61,.042,1.949,46,2016
Jason Bohn,67,.032,1.908,59,2016
Scott Brown,88,.018,1.275,69,2016
Henrik Norlander,71,.018,.921,52,2016
Bronson Burgoon,83,.015,.971,64,2016
Alex Cejka,71,.011,.541,51,2016
Blayne Barber,84,.010,.776,74,2016
Andres Gonzales,80,.008,.480,64,2016
Spencer Levin,104,.008,.696,82,2016
Thomas Aiken,70,.006,.298,48,2016
Chad Collins,73,-.004,-.272,64,2016
Chris Kirk,90,-.006,-.451,74,2016
Erik Compton,65,-.019,-.958,50,2016
Anirban Lahiri,72,-.020,-.959,48,2016
Louis Oosthuizen,63,-.021,-.897,42,2016
Brian Stuard,66,-.022,-1.325,60,2016
Hideki Matsuyama,76,-.025,-1.472,58,2016
Willy Wilcox,67,-.027,-1.533,57,2016
Charley Hoffman,91,-.036,-2.516,70,2016
Rob Oppenheim,67,-.046,-2.311,50,2016
Russell Knox,92,-.054,-3.499,65,2016
Emiliano Grillo,93,-.056,-4.057,73,2016
Cameron Smith,73,-.057,-2.619,46,2016
Brett Stegmaier,87,-.060,-4.530,75,2016
Dawie van der Walt,72,-.061,-3.427,56,2016
Scott Pinckney,87,-.063,-4.499,71,2016
Tom Hoge,81,-.069,-4.366,63,2016
Tyrone Van Aswegen,105,-.078,-6.811,87,2016
Jason Gore,78,-.079,-4.677,59,2016
Vijay Singh,72,-.093,-6.075,65,2016
Ryan Palmer,86,-.094,-7.314,78,2016
Branden Grace,63,-.105,-4.402,42,2016
Tony Finau,95,-.108,-8.324,77,2016
Si Woo Kim,113,-.109,-10.674,98,2016
Tyler Aldridge,83,-.129,-8.667,67,2016
Gary Woodland,95,-.130,-9.997,77,2016
Kyle Stanley,92,-.131,-10.208,78,2016
Charl Schwartzel,73,-.137,-7.649,56,2016
J.B. Holmes,77,-.153,-9.189,60,2016
Nick Taylor,83,-.154,-10.159,66,2016
Mark Wilson,66,-.155,-8.517,55,2016
Chesson Hadley,81,-.165,-10.909,66,2016
Adam Scott,79,-.168,-9.405,56,2016
Bill Haas,86,-.174,-11.142,64,2016
Justin Thomas,99,-.185,-13.881,75,2016
Lucas Glover,75,-.192,-12.851,67,2016
Patrick Rodgers,89,-.193,-13.705,71,2016
Justin Rose,65,-.197,-9.639,49,2016
Danny Lee,93,-.207,-14.520,70,2016
Rory McIlroy,69,-.207,-9.938,48,2016
Graeme McDowell,63,-.208,-9.366,45,2016
John Huh,86,-.209,-16.267,78,2016
Graham DeLaet,70,-.211,-12.215,58,2016
Robert Garrigus,69,-.213,-11.475,54,2016
Michael Thompson,71,-.213,-11.296,53,2016
Jerry Kelly,76,-.214,-12.848,60,2016
Whee Kim,82,-.219,-14.208,65,2016
Carlos Ortiz,79,-.223,-13.388,60,2016
Boo Weekley,83,-.225,-15.963,71,2016
J.J. Henry,68,-.237,-14.194,60,2016
James Hahn,85,-.245,-16.910,69,2016
Chad Campbell,90,-.256,-20.244,79,2016
Roberto Castro,97,-.257,-22.627,88,2016
Brendan Steele,88,-.257,-17.443,68,2016
Chez Reavie,90,-.262,-19.898,76,2016
Rhein Gibson,58,-.266,-11.690,44,2016
Jason Kokrak,89,-.270,-19.960,74,2016
Luke List,79,-.273,-17.737,65,2016
Jim Herman,93,-.278,-19.437,70,2016
Scott Piercy,87,-.286,-18.318,64,2016
Scott Stallings,74,-.291,-18.067,62,2016
Francesco Molinari,64,-.296,-16.895,57,2016
Matt Jones,83,-.306,-18.950,62,2016
Kevin Chappell,93,-.310,-24.195,78,2016
Shawn Stefani,91,-.336,-25.839,77,2016
Padraig Harrington,54,-.342,-15.050,44,2016
Ángel Cabrera,62,-.352,-16.917,48,2016
Jason Dufner,105,-.353,-27.850,79,2016
Bubba Watson,72,-.367,-18.692,51,2016
Harold Varner III,92,-.377,-29.760,79,2016
Kevin Streelman,82,-.383,-24.140,63,2016
Sergio Garcia,54,-.388,-12.028,31,2016
Stewart Cink,61,-.398,-19.497,49,2016
Jeff Overton,69,-.416,-24.119,58,2016
Abraham Ancer,51,-.421,-15.980,38,2016
Vaughn Taylor,72,-.424,-28.390,67,2016
Robert Streb,87,-.432,-28.089,65,2016
